"PAPIROVA_NZ(od 2011)";"TEXT";"PDF";"CD";"PRIR_CISLO";"ROK_Z";"ROK_K";"KATASTR";"OKRES";"AUTOR_ZAA";"VEDOUCI";"TYP_ZPR_PUV";"LOKALITA"
;1;0;0;"TX200907651";0;2009;"PRAHA - ZÁBÌHLICE";"P0";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Práèe I"
;1;0;0;"TX200813139";2004;2005;"PRAHA - ZLIÈÍN";"P5";"Maèková M.";"Kuchaøík M.";"NZ";"ÈNB ppè.468/1,2"
;0;0;0;"TX200707514";0;2006;"PRAHA - ZLIÈÍN";"P5";"Hricáková J.";"Kuchaøík";"RZ";"""U nové silnice"""
;0;0;0;"TX200803994";2006;2007;"PRAHA - ZLIÈÍN";"P5";"Maèková M.";"Vávra";"RZ";"Zlièínskı dvùr I"
;0;0;0;"TX200803993";0;2007;"PRAHA - ZLIÈÍN";"P5";"Maèková M.";"Vávra";"RZ";"Hrozenkovská ul."
;0;0;0;"TX200803999";2007;2008;"PRAHA - ZLIÈÍN";"P5";"Maèková M.";"Vávra";"RZ";"Zlièínskı dvùr II"
;0;0;0;"TX201101925";2010;2010;"PRAHA - ZLIÈÍN";"P5";"Horák J.";"Horák J.";"RZ";"Na Radosti, ppè. 243, 244, 245, 246, 662/72, 744/1."
;1;1;1;"TX201007318";0;2010;"PRAHA - ZLIÈÍN";"P5";"Forró J.";"Horák J.";"NZ";"Ulice Na Radosti p.è. 244, 246, administrativnì - bytovı objekt"
"ano";1;0;1;"TX201501996";0;2011;"PRAHA - ZLIÈÍN";"P5";"Kutílková P. (Kohoutová)";"Kutílková P. (Kohoutová)";"NZ";"Bytové domy Na Radosti, p.è. 668/164."
;0;0;0;"TX201007174";2009;2009;"RTYNÌ V PODKRKONOŠÍ";"TU";"Novák, M.";"Novák, M.";"RZ";"è.p.642 na parc. è. 3400/1,3,4,5,6,60"
;1;0;1;"TX200910911";0;2009;"RTYNÌ V PODKRKONOŠÍ";"TU";"Maèková M.";"Novák";"NZ";"ppè.3400/1,3,4,5,6,60"
"ano";1;0;1;"TX201501997";0;2011;"SELETICE";"NB";"Kutílková P. (Kohoutová)";"Kutílková P. (Kohoutová)";"NZ";"Areál Loudy, s.r.o., vıstavba skladu sena."
;0;0;0;"TX201101939";2010;2010;"STAROBUCKÉ DEBRNÉ";"TU";"Novák R.";"Novák R.";"RZ";
;0;0;0;"TX201101940";2010;2010;"STØÍTE U TRUTNOVA";"TU";"Kuchaøík M.";"Kuchaøík M.";"RZ";
"ne";0;0;1;"TX201501993";0;2011;"SVÍDNICE U DYMOKUR";"NB";"Kutílková P. (Kohoutová)";"Kutílková P. (Kohoutová)";"NZ";"23094 - rekonstrukce èásti volného vedení; 23095 - kabel NN pro p.p.è. 57/6-14"
;0;0;0;"TX201101948";2010;2011;"ŠESTAJOVICE U JAROMÌØE";"NA";"Košál J.";"Košál J.";"RZ";"Šestajovice, ppè. 242/27, 242/28, 361."
;0;0;0;"TX201007190";2009;2009;"TRUTNOV";"TU";"Novák, M.";"Novák, M.";"RZ";"Krakonošovo nám., ppè. 2213/1"
;0;0;0;"TX201101959";2010;2010;"ÚPICE";"TU";"Kuchaøík M.";"Kuchaøík M.";"RZ";"Námìstí T.G. Masaryka, hotel Beránek."
;0;0;0;"TX201101965";2010;2011;"VELKÉ POØÍÈÍ";"NA";"Košál J.";"Košál J.";"RZ";"Velké Poøíèí, øeka Metuje."
"ano";1;0;1;"TX201502009";0;2010;"VLÈICE U TRUTNOVA";"TU";"Kuchaøík M.";"Novák R.";"NZ";"P.p.è. 283/1, vıstavba vodní nádre Dalibor."
;0;0;0;"TX201007213";2009;2009;"VOLANOV";"TU";"Novák, M.";"Novák, M.";"RZ";
;0;0;0;"TX201007219";2009;2009;"VRCHLABÍ";"TU";"Novák, M.";"Novák, M.";"RZ";"Èisté Horní Labe - kanalizace, lokalita 20 - Krkonošská, Nádraní, Slovanská, Praská"
;0;0;0;"TX201007228";2009;2009;"VRCHLABÍ";"TU";"Novák, M.";"Novák, M.";"RZ";"Èisté Horní Labe - kanalizace, lokalita 08 - Luická, Tylova, Krkonošská"
;0;0;0;"TX201007233";2009;2009;"VRCHLABÍ";"TU";"Novák, M.";"Novák, M.";"RZ";"Èisté Horní Labe, lokalita 30 - Kamenná cesta: Horská p.è. 2149/3, Kamenná cesta, chodníky podél sinice II/295"
;0;0;0;"TX201007234";2009;2009;"VRCHLABÍ";"TU";"Novák, M.";"Novák, M.";"RZ";"Èisté Horní Labe - kanalizace, lokalita 14 - Sídlištì Sever II: 5. kvìtna, Rolnická, Polní, Krkonošská, nám. Míru"
"ano";1;0;1;"TX201501987";0;2010;"VRCHLABÍ";"TU";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Revitalizace klášterní zahrady a pøilehlé plochy - kanalizace."
"ano";1;0;1;"TX201501977";2009;2010;"VRCHLABÍ";"TU";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Rozsáhlá akce odkanalizování aglomerace Vrchlabí."
;0;0;0;"TX201101971";2010;2010;"VRCHLABÍ";"TU";"Kuchaøík M.";"Kuchaøík M.";"RZ";"Husova, stpè. 3560, ppè. 54, 55/5, 66/4, 66/1, 67, 56/4, 1889/1."
"ne";0;0;1;"TX201502004";0;2011;"ZÁHRAÏ";"SY";"Kuchaøík M.";"Košál J.";"NZ";"Zámek Litomyšl, statické sondy u obvodové a opìrné zdi francouzské zahrady."
"ne";0;0;1;"TX201502018";0;2009;"IREÈ MÌSTYS";"TU";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Revitalizace èásti pivovaru pøi jezuitském klášteøe (inenırské sítì, sniování podlah v 1.NP)."
"ne";0;0;1;"TX201501992";0;2011;"ITOVLICE";"NB";"Kutílková P. (Kohoutová)";"Kutílková P. (Kohoutová)";"NZ";"P.p.è. 95/21, kNN."
