"PAPIROVA_NZ(od 2011)";"TEXT";"PDF";"CD";"PRIR_CISLO";"ROK_Z";"ROK_K";"KATASTR";"OKRES";"AUTOR_ZAA";"VEDOUCI";"TYP_ZPR_PUV";"LOKALITA"
;0;0;0;"TX201101750";2010;2010;"DVÙR KRÁLOVÉ NAD LABEM";"TU";"Kuchaøík M.";"Kuchaøík M.";"RZ";"Námìstí T.G.Masaryka, ulice Palackého, J.Hory, Švehlova, stpè. 18, 19, 68, 81, 82/1, 83, 86, ppè. 38/1, 38/3, 3524/1-2."
;0;0;0;"TX200913905";0;2009;"HAVLOVICE";"TU";"Košál J.";"Košál";"RZ";"hrad Vízmburk"
;0;0;0;"TX201101759";2010;2010;"HORNÍ LYSEÈINY";"TU";"Novák R.";"Novák R.";"RZ";"Ppè. 60."
;0;0;0;"TX201007022";2009;2009;"HORNÍ MARŠOV";"TU";"Novák, M.";"Novák, M.";"RZ";"Èistá Horní Úpa - lokalita 32 Temnı Dùl"
;0;0;0;"TX201101776";2010;2010;"CHORNICE";"SY";"Košál J.";"Košál J.";"RZ";"Stpè. 280, ppè. 108/1, 109/1, 109/2, 1716/3, 1720/1, 1721/1, 1823/4, 1827/9, 521/3, 520/2, 514/4, 513/2, 510/4 atd."
;0;0;0;"TX201101779";2010;2010;"CHRÁST U TIŠIC";"ME";"Kvietok M.";"Kvietok M.";"RZ";"Pod Horkou, ppè. 431/7, Tišice - Chrást."
;0;0;0;"TX201007041";2009;2009;"JIÈÍN";"JC";"Kuchaøík M.";"Kuchaøík, M.";"RZ";"Zámecká zahrada"
"ne";0;0;1;"TX201502020";0;2009;"JIÈÍN";"JC";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Zjištìní polohy a orientace kostela sv. Jana Køtitele v zámecké zahradì v poloze Na Koštofranku."
"ano";1;0;1;"TX201501990";0;2010;"JIÈÍN";"JC";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Revitalizace jezírka v Lesoparku Èeøovka (hledání sochy Neptuna)."
;0;0;0;"TX201101784";2010;2010;"JIÈÍN";"JC";"Kuchaøík M.";"Kuchaøík M.";"RZ";"Jezírko v lesoparku Èeøovka."
;0;0;0;"TX201007045";2009;2009;"KOZOJÍDKY U VINAR";"HK";"Kuchaøík M.";"Kuchaøík, M.";"RZ";"Kozojídky: parc. è. 282, 66/2, 127/1, 111, 8/10, Vinary: 322"
;0;0;0;"TX201101797";2010;2010;"KUKS";"TU";"Novák R.";"Novák R.";"RZ";
"ano";1;0;1;"TX201501983";0;2010;"KUKS";"TU";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Rekonstrukce rodinného domu è.p. 22."
;0;0;0;"TX201101794";2010;2010;"KUKS";"TU";"Kuchaøík M.";"Kuchaøík, M.";"RZ";"Areál NKP Hospital Kuks."
;0;0;0;"TX201007047";2009;2009;"LIBIŠANY";"PA";"Novák, M.";"Novák, M.";"RZ";"parc. è. 838/28"
"ano";1;0;1;"TX201502007";0;2009;"LIBIŠANY";"PA";"Kuchaøík M.";"Novák M.";"NZ";"Novostavba rodinného domu, p.p.è. 838/28."
;0;0;0;"TX201007049";2009;2009;"LIBUNEC";"JC";"Kuchaøík M.";"Kuchaøík, M.";"RZ";"parc. è. 491/2"
"ne";0;0;1;"TX201502005";0;2011;"LITOMYŠL";"SY";"Kuchaøík M.";"Košál J.";"NZ";"Pøeloka kabelu ÈEZ u pøístavby Piaristické koleje."
"ano";1;0;1;"TX201502006";0;2011;"MORAVSKÁ KAMENNÁ HORKA";"SY";"Košál J.";"Košál J.";"NZ";"Vıkopy pro kabel VN mezi obcemi Pohledy a Svitavy."
;1;1;1;"TX201007317";0;2010;"MORAVSKÁ TØEBOVÁ";"SY";"Forró J.";"Košál J.";"NZ";"Cechovní ul. p.è. 141, rekonstrukce Èeské spoøitelny"
;0;0;0;"TX201101821";2010;2010;"MORAVSKÁ TØEBOVÁ";"SY";"Košál J.";"Košál J.";"RZ";"Námìstí T.G.Masaryka, ppè. 139, 141."
