"KOD";"KATASTR";"OKRES";"CIS_KU";"FSU"
"CL/»ESK¡ LÕPA/1998/923";"MIMO“";"CL";94767;695254
"CL/»ESK¡ LÕPA/1998/923";"DOKSY";"CL";91271;628212
"CL/»ESK¡ LÕPA/1998/923";"DUB¡";"CL";91633;633291
"CL/»ESK¡ LÕPA/1998/923";"BLÕéEVEDLY";"CL";90298;605662
"DC/MIKUL¡äOVI/1997/310";"VELK› äENOV";"DC";98648;779768
"CL/JESTÿEBÕ  /1998/459";"PROVODÕN";"CL";96364;733865
"CL/JESTÿEBÕ  /1998/459";"⁄JEZD";"CL";98394;659070
"DC/VELK› äENO/1997/106";"äLUKNOV";"DC";97930;762890
"DC/VARNSDORF /1997/143";"RUMBURK";"DC";96833;743518
"DC/JIÿETÕN PO/1998/746";"SVOR";"CL";97854;761494
"DC/JETÿICHOVI/1997/457";"VYSOK¡ LÕPA";"DC";99128;659291
"PS/BABINA    /2000/953";"DOLNÕ HRADIäTÃ";"PS";91336;629146
"ME/VäETATY   /2000/017";"»E»ELICE";"ME";90840;618772
"MB/⁄JEZD     /2000/027";"LUäTÃNICE";"MB";94399;689106
"KL/KR¡LOVICE /2000/551";"TRPOMÃCHY";"KL";98174;768812
"PV/K¡RAN›    /1982/002";"TOUäE“";"PV";98126;520016
"NB/LYS¡ NAD L/1920/945";"PÿEROV NAD LABEM";"NB";96421;735035
"PV/MOCHOV    /1968/731";"PÿEROV NAD LABEM";"NB";96421;735035
"PV/MOCHOV    /1968/731";"SEDL»¡NKY";"PV";96973;619213
"PV/MOCHOV    /1968/731";"»EL¡KOVICE";"PV";90863;619159
"ME/BYäKOVICE /1988/543";"KOJETICE";"PV";93303;667854
"ME/BYäKOVICE /1988/543";"LOBKOVICE";"ME";94255;703664
"ME/LOBKOVICE /1993/057";"JIÿICE";"ME";92981;661031
"ME/KOPE»     /1996/926";"NETÿEBA";"ME";95197;704008
"ME/KLY       /1998/502";"TUH¡“";"ME";98271;771261
"ME/PÿÕVORY   /1999/943";"TIäICE";"ME";98103;767361
"ME/CHR¡ST    /1999/452";"TIäICE";"ME";98103;767361
"ME/BYäKOVICE /1999/508";"NERATOVICE";"ME";95170;703567
"PT/HUSINEC   /1996/340";"DVORY";"PT";91682;679518
"PT/éITN¡     /1996/144";"OBORA";"PT";95419;647616
"PT/ARNOäTKA  /1998/921";"HORNÕ VLTAVICE";"PT";92180;644595
"PT/KVILDA    /1998/445";"NOV… HUTÃ";"PT";95335;707902
"PT/MAHOUä    /1997/015";"NÃM»ICE";"PT";95134;689777
"PT/NOV… HUTÃ /1998/947";"KVILDA";"PT";93811;678350
"PT/OBORA     /1999/720";"éITN¡";"PT";99641;797260
"PT/DUB       /1999/508";"JAVORNICE";"PT";92831;633224
"P6/PRAHA - DE/2001/147";"PRAHA - VOKOVICE";"P6";96286;729418
"P0/PRAHA - VR/2001/650";"PRAHA - VINOHRADY";"P2";96284;727164
"P1/PRAHA - HR/2000/338";"PRAHA - MAL¡ STRANA";"P1";96240;727091
"BE/SUCHOMASTY/2001/532";"TM¡“";"BE";98110;767620
"P1/PRAHA - ST/2000/214";"PRAHA - NOV… MÃSTO";"P1";96249;727181
"P2/PRAHA - VI/2000/248";"PRAHA - éIéKOV";"P3";96294;727415
"NB/SLIBOVICE /2001/328";"BÃRUNICE";"NB";90171;603104
"NB/SLIBOVICE /2001/328";"VELK… V›KLEKY";"NB";98622;603163
"NB/VRBICE    /2001/830";"SENICE";"NB";97049;747441
"UO/BÃSTOVICE /2001/629";"CHOCE“";"UO";92561;651974
"KH/HOÿANY    /2001/831";"KUTN¡ HORA";"KH";93786;677710
"SM/HORKA U ST/2001/333";"NEDAÿÕé";"SM";95095;710440
"CR/ZAJE»ICE  /2001/528";"BÕTOVANY";"CR";90261;604895
"NA/NOV… MÃSTO/2001/524";"KR»ÕN";"NA";93602;706434
"UO/CHOCE“    /2001/613";"BÃSTOVICE";"UO";90178;603236
"HK/CHUDONICE /2001/054";"NOV› BYDéOV";"HK";95375;707163
"CK/KÿENOV    /1999/624";"KLADN…";"CK";93150;662038
"CK/KLADN…    /1999/644";"KÿENOV";"CK";93674;662046
"CH/TÿEBE“    /2000/253";"NOV› DRAHOV";"CH";95376;769541
"ME/Z¡LEZLICE /2000/212";"CHLUMÕN";"ME";92550;651842
"BN/TISEM     /2001/100";"PÿIBYäICE";"BN";96453;735817
"KH/NOV… DVORY/2001/428";"CÕRKVICE";"KH";90790;617750
"KH/STA“KOVICE/2001/608";"UHLÕÿSK… JANOVICE";"KH";98366;773212
"NB/BÃRUNI»KY /2001/102";"BÃRUNICE";"NB";90171;603104
"KH/»ERN… BUDY/2000/132";"VLKAN»ICE";"KO";98867;783943
"KL/SVINAÿOV  /1998/107";"SME»NO";"KL";97238;750841
"KO/STÿÕBRN¡ S/1998/952";"HRADOV… STÿIMELICE";"KO";92342;757675
"NB/OSEK      /2000/341";"KNÃéICE";"NB";93244;666921
"KH/KUTN¡ HORA/2001/822";"HOÿANY";"KH";92210;695971
"NB/PÕSTY     /2001/153";"PÕSTY";"NB";95880;721026
"KL/CHRéÕN    /2001/053";"UHY";"KL";98379;773506
"PT/BUDKOV    /2001/802";"VLACHOVO BÿEZÕ";"PT";98828;783293
"PI/BOUDY     /1999/855";"MIROTICE";"PI";94782;695505
"KT/MAL¡ VÕSKA/2001/326";"LUBY";"KT";94357;665975
"KT/POLE“     /2001/013";"ZDESLAV";"KT";99397;725161
"P5/PRAHA - RA/2001/244";"KOSOÿ";"PZ";93405;669971
"KO/»ERN… VODÃ/2001/357";"HRADEC U STÿÕBRN… SKALICE";"KO";92300;757667
"KO/STÿÕBRN¡ S/2001/412";"HRADEC U STÿÕBRN… SKALICE";"KO";92300;757667
"KO/STÿÕBRN¡ S/2001/412";"HRADOV… STÿÕMÃLICE";"KO";92342;757675
"KO/STÿÕBRN¡ S/2001/412";"KOSTELNÕ STÿÕMÃLICE";"KO";93430;757683
"DO/HLOHOV»ICE/2001/637";"SRBICE";"DO";97370;752916
"PJ/PARTOLTICE/2001/642";"RADOCHOVY";"PJ";96597;738191
"PJ/PARTOLTICE/2001/642";"VOJOVICE";"PJ";98918;784613
"RO/KÿÕäE     /2001/336";"STUPNO";"RO";97700;613550
"PJ/PÿEäTICE  /2000/629";"éEROVICE";"PJ";99599;796638
"PJ/SKO»ICE   /2000/806";"PÿEäTICE";"PJ";96438;735256
"TC/BOJE»NICE /2001/017";"BOR";"TC";90380;607304
"TC/BOJE»NICE /2001/017";"VYSO»ANY";"TC";99119;607398
"BE/DROZDOV   /1995/111";"TÿENICE";"BE";98246;770744
"BE/HÿEDLE    /1999/912";"ZDICE";"BE";99405;792446
"BE/CHODOU“   /1998/408";"ZDICE";"BE";99405;792446
"BE/LEVÕN     /1999/146";"»ERNÕN";"BE";90929;792420
"BE/NEUMÃTELY /1998/928";"RADOUä";"BE";96625;738697
"BE/OSEK      /1999/539";"KOM¡ROV";"BE";93340;668648
"BE/OSEK      /1999/410";"HOÿOVICE";"BE";92239;645371
"BE/OSOV      /1999/918";"VELK› CHLUMEC";"BE";98634;779598
"BE/POPOVICE  /1999/251";"TMA“";"BE";98110;767620
"BE/PRASKOLESY/1998/354";"SEDLEC";"BE";96991;795691
"BE/SKÿIPEL   /1999/837";"OSOV";"BE";95620;713325
"BE/VIéINA    /2000/030";"VäERADICE";"BE";99083;787299
"BE/Z¡LUéÕ    /1999/629";"DROZDOV";"BE";91595;632601
"BE/ZDICE     /1997/724";"HÿEDLE";"BE";92405;648931
"BE/ZDICE     /2000/545";"»ERNÕN";"BE";90929;792420
"BE/éEBR¡K    /1995/156";"CHLUSTINA";"BE";92553;651869
"BE/éEBR¡K    /1995/156";"HÿEDLE";"BE";92405;648931
"RO/BUäOVICE  /2002/144";"VITINKA";"RO";98808;782939
"KH/»¡SLAV    /2002/140";"CHOTUSICE";"KH";92634;653489
"PB/»ERVEN› HR/2002/632";"KOSOVA HORA";"PB";93410;670014
"UO/»ESK… LIBC/1999/306";"HORNÕ LIBCHAVY";"UO";92081;643327
"UO/DAMNÕKOV  /1999/556";"LUKOV¡";"UO";94392;689025
"PJ/DLOUH¡ LOU/2002/508";"ROUPOV";"PJ";96768;741892
"PV/DOBÿEJOVIC/2001/813";"OSNICE";"PZ";95619;713279
"PV/DOLÕNEK   /2002/602";"ODOLENA VODA";"PV";95446;708992
"UO/DOLNÕ MORA/1998/128";"VELK¡ MORAVA";"UO";98586;629791
"UO/DOLNÕ MORA/1998/128";"HORNÕ MORAVA";"UO";92096;629782
"UO/DOLNÕ SLOU/1999/256";"HORNÕ SLOUPNICE";"UO";92149;644129
"CL/DOLNÕ SVÃT/2002/541";"HORNÕ SVÃTL¡";"CL";92161;675024
"UO/DOLNÕ TÿEä/1999/111";"HORNÕ TÿEä“OVEC";"UO";92168;644480
"PJ/DRAHKOV   /2002/201";"LETINY";"PJ";93953;680605
"PS/HODOVIZ   /2002/203";"DRAéE“";"PS";91565;650218
"PS/HODOVIZ   /2002/203";"HVOZD";"PS";92466;650234
"PS/HORNÕ BÃL¡/2002/218";"BU»Õ";"PS";90653;615145
"PS/HORNÕ BÃL¡/2002/220";"BU»Õ";"PS";90653;615145
"UO/HORNÕ TÿEä/1996/907";"DOLNÕ TÿEä“OVEC";"UO";91448;679020
"RO/HR¡DEK    /2002/501";"NOV¡ HUç";"RO";95252;647314
"SM/HRUB¡ SK¡L/2002/152";"HNANICE";"SM";91901;639982
"UO/CHOCE“    /2002/755";"BÃSTOVICE";"UO";90178;603236
"PI/CHVALETICE/2002/031";"PROTIVÕN";"PI";96362;733857
"PV/⁄VALY     /1947/155";"⁄VALY";"PV";98468;775738
"PV/JENäTEJN  /1933/028";"RADONICE";"PV";96604;738247
"P9/PRAHA - DO/1954/353";"PRAHA - HOSTAVICE";"P9";96208;731722
"P0/PRAHA - KR/1991/537";"PRAHA - H¡JEK";"P0";96200;773395
"P0/PRAHA - KO/1991/546";"PRAHA - KR¡LOVICE";"P0";96224;672629
"PV/VODÃR¡DKY /1991/551";"KUÿÕ U ÿÕ»AN";"PV";93781;677647
"PV/DÿEV»ICE  /1989/921";"POPOVICE";"PV";96125;609251
"CH/FRANTIäKOV/?   /323";"éÕROVICE";"CH";99633;634697
"CH/FRANTIäKOV/1958/336";"éÕROVICE";"CH";99633;634697
"JC/»EäOV     /1983/035";"SLAVHOSTICE";"JC";97199;797693
"LT/DOL¡NKY   /1962/027";"BR“ANY";"LT";90525;609919
"JC/KAL       /1991/028";"VÿESNÕK";"JC";99056;766950
"JC/PAÿEZSK¡ L/1941/115";"Z¡MOSTÕ";"JC";99318;746118
"P6/PRAHA - LI/1967/110";"PRAHA - VOKOVICE";"P6";96286;729418
"JC/PRACHOV   /1941/932";"HORNÕ LOCHOV";"JC";92085;641251
"JC/PRACHOV   /1941/932";"Z¡MOSTÕ";"JC";99318;746118
"JC/PRACHOV   /1941/932";"PAÿEZSK¡ LHOTA";"JC";95727;641278
"DO/äTÕTARY   /1989/847";"TASNOVICE";"DO";98014;763861
"TC/BLAHOUSTY /1963/504";"TRPISTY";"TC";98171;768766
"JC/OSTROMÃÿ  /1963/619";"SOB»ICE";"JC";97286;751499
"RA/MUTÃJOVICE/1964/709";"MILOSTÕN";"RA";94756;695122
"KT/VEÿECHOV  /1964/437";"BOUBÕN";"KT";90445;780332
"RA/NESUCHYNÃ /1966/916";"MILOSTÕN";"RA";94756;695122
"RA/MäEC      /1967/326";"MäECK… éEHROVICE";"RA";94981;700240
"DO/HORNÕ KAME/1926/132";"HOL›äOV";"DO";91975;641553
"DO/HORNÕ KAME/1926/144";"HOL›äOV";"DO";91975;641553
"TC/SLAVICE   /1971/159";"Z¡CHLUMÕ";"TC";99265;790290
"KH/NOV… DVORY/1974/121";"MALÕN";"KH";94504;678023
"KH/MALÕN     /1975/416";"NOV… DVORY";"KH";95325;706078
"TA/DOBRONICE /1976/856";"DOBÿEJICE";"TA";91245;619493
"NA/HOÿENICE  /1976/613";"HEÿMANICE";"NA";91830;638501
"ST/CHLUM     /1977/134";"Z¡VIäÕN";"ST";99344;791288
"ST/CHLUM     /1977/134";"BEZDÃDOVICE";"ST";90191;603457
"DO/PODRAéNICE/1977/926";"KOCOUROV";"DO";93282;644943
"KH/POTÃHY    /1976/038";"HORKY";"KH";91997;726401
"TA/RADÃTICE  /1976/538";"BOROVANY";"PI";90407;607789
"TA/RADÃTICE  /1977/608";"BOROVANY";"PI";90407;607789
"TA/RYBOVA LHO/1976/716";"DEBRNÕK";"TA";91115;624888
"HK/SKALICE   /1977/107";"SKALI»KA";"HK";97086;748013
"CR/⁄HÿETICE  /1977/551";"TUNÃCHODY";"CR";98289;771465
"ST/Z¡VIäÕN   /1977/143";"CHLUM";"ST";92526;651494
"JH/MAJDALENA /1978/519";"HERDA";"JH";;0
"JH/MAJDALENA /1978/546";"HERDA";"JH";;0
"JH/MAJDALENA /1978/551";"HERDA";"JH";;0
"JH/MAJDALENA /1978/554";"HERDA";"JH";;0
"BE/LODÃNICE  /1978/526";"SVAT› JAN POD SKALOU";"BE";97780;760269
"BE/LODÃNICE  /1978/541";"SVAT› JAN POD SKALOU";"BE";97780;760269
"ST/STÿELSK… H/1979/601";"HORNÕ POÿÕ»Õ";"ST";92123;726001
"HK/BEN¡TKY   /1984/056";"»ÕäTÃVES";"HK";91069;624012
"NA/»¡SLAVKY  /1984/212";"JAROMÃÿ";"NA";92808;657336
"LN/»Õ“OV     /1985/251";"BÿEéANY";"LN";90637;614904
"HK/»ÕäTÃVES  /1984/306";"BEN¡TKY";"HK";90141;602086
"HK/»ÕäTÃVES  /1984/317";"BEN¡TKY";"HK";90141;602086
"JC/DOLNÕ DOBR/1984/010";"DOLNÕ DOBR¡ VODA";"JC";91318;627071
"JC/HORNÕ DOBR/1984/018";"HORNÕ DOBR¡ VODA";"JC";92029;627089
"JC/HORNÕ DOBR/1984/024";"HORNÕ DOBR¡ VODA";"JC";92029;627089
"JC/HORNÕ DOBR/1984/041";"DOLNÕ DOBR¡ VODA";"JC";91318;627071
"PA/DOLANY    /1985/208";"BOHDANE»";"PA";90318;606171
"ST/HLUPÕN    /1985/821";"STÿELSKOHOäTICK¡ LHOTA";"ST";97628;747050
"ST/HLUPÕN    /1985/821";"KOMUäÕN";"KT";93348;668923
"KL/TÿEBUSICE /1999/553";"BRAND›SEK";"KL";90480;609285
"ST/HLUPÕN    /1985/821";"HORAéœOVICE";"KT";91987;641855
"DO/HORNÕ METE/1985/423";"POLéICE";"DO";96106;753017
"MO/HOÿANY    /1984/805";"SLATINICE";"MO";97188;616559
"HK/HOÿINÃVES /1985/857";"RA»ICE";"HK";96533;737381
"KO/CHOT›ä    /1984/828";"KRUP¡";"KO";93639;675229
"HK/JENÕKOVICE/1985/007";"POL¡NKY";"HK";96075;769436
"JC/KAL       /1985/815";"VÿESNÕK";"JC";99056;766950
"LN/LIPENEC   /1984/655";"DRAHOMYäL";"LN";91544;684287
"PZ/MAL… »Õ»OV/1984/837";"STÿEDOKLUKY";"PZ";97620;757381
"LN/MILOäICE  /1985/804";"RADÕ»EVES";"LN";96568;737704
"LN/PODBOÿANY /1985/031";"DOL¡NKY";"LN";91274;664456
"CR/SOBÃTUCHY /1985/919";"L¡NY";"CR";93853;616583
"HK/SOVÃTICE  /1984/930";"»ÕäTÃVES";"HK";91069;624012
"KO/äTOLMÕÿ   /1985/117";"KOUNICE";"NB";93468;671142
"KO/TISMICE   /1985/102";"LIMUZY";"KO";94149;767158
"CR/TROJOVICE /1985/052";"ÿESTOKY";"CR";96912;745324
"HK/éELKOVICE /1984/046";"CEREKVICE NAD BYSTÿICÕ";"JC";90772;617474
"TP/HRDLOVKA  /1987/653";"LIPTICE";"TP";94194;684821
"PV/TEHOV     /1987/444";"TEHOVEC";"PV";98028;765317
"JC/TÿEBOVÃTIC/1986/431";"CEREKVICE NAD BYSTÿICÕ";"JC";90772;617474
"PB/TÿEBSKO   /1987/856";"KAMENN¡ U PÿÕBRAMÃ";"PB";93069;662691
"CV/RA»ICE    /1988/851";"NAäÕ";"CV";95070;520024
"KO/BÿEéANY I /1992/016";"CERHENICE";"KO";90774;617547
"KO/BÿEéANY I /1992/016";"BLINKA";"KO";90295;721361
"KO/BÿEéANY I /1992/016";"PLA“ANY";"KO";95898;721387
"KL/»ELECHOVIC/1992/107";"MäECK… éEHROVICE";"RA";94981;700240
"KL/»ELECHOVIC/1992/107";"LODÃNICE";"BE";94261;686328
"KL/»ELECHOVIC/1992/129";"MäECK… éEHROVICE";"RA";94981;700240
"KL/»ELECHOVIC/1992/129";"LODÃNICE";"BE";94261;686328
"KL/HOÿEäOVICE/1990/024";"HOÿEäOVI»KY";"KL";92227;645125
"JC/JI»ÕN     /1990/320";"MORAV»ICE";"JC";94925;740217
"CV/KRBICE    /1990/815";"NAäÕ";"CV";95070;520024
"CV/KRBICE    /1991/226";"»ERNOVICE";"CV";90942;620599
"KO/LIBLICE   /1991/944";"KLU»OV";"KO";93231;666645
"KH/MALÕN     /1992/755";"NOV… DVORY";"KH";95325;706078
"CV/NAäÕ      /1990/038";"KRBICE";"CV";93600;674273
"NA/NEZN¡äOV  /1984/950";"HOLOHLAVY";"HK";91961;641294
"JC/OHAVE»    /1991/432";"HOLÕN";"JC";91959;641243
"JC/OHAVE»    /1991/949";"HOLÕN";"JC";91959;641243
"NB/POÿÕ»ANY  /1991/156";"MIL»ICE";"NB";94723;694533
"NB/POÿÕ»ANY  /1991/156";"VELK… CHVALOVICE";"NB";98610;778842
"NB/POÿÕ»ANY  /1991/156";"PE»KY";"NB";95783;718823
"NB/POÿÕ»ANY  /1991/201";"MIL»ICE";"NB";94723;694533
"NB/POÿÕ»ANY  /1991/201";"VELK… CHVALOVICE";"NB";98610;778842
"NB/POÿÕ»ANY  /1991/201";"PE»KY";"NB";95783;718823
"P1/PRAHA - ST/1990/356";"PRAHA - JOSEFOV";"P1";96215;727008
"TC/ROZVADOV  /1991/430";"STÿEBLE";"TC";97618;742651
"DC/SNÃéNÕK   /1991/952";"JÕLOV…";"DC";92944;660043
"DC/SNÃéNÕK   /1991/917";"JÕLOV…";"DC";92944;660043
"KH/VÕCKOVICE /1991/440";"ÿEPLICE";"KH";96906;606154
"PS/BDENÃVES  /1995/910";"KOZOLUPY";"PS";93516;671983
"RA/BDÕN      /1994/752";"PÿERUBENICE";"RA";96423;735051
"JC/BÕLSKO U H/1995/815";"HOLOVOUSY";"JC";91967;641332
"TC/BOROVANY  /1993/810";"STAR… SEDLO";"TC";97465;754757
"JC/BYSTÿICE  /1994/156";"STÿEVA»";"JC";97632;757560
"KH/»¡SLAV    /1995/710";"TÿEBEäICE";"KH";98200;617776
"PZ/DOLNÕ JIR»/1993/924";"VESTEC";"PZ";98716;781029
"PZ/DOLNÕ JIR»/1993/924";"JESENICE";"PZ";92897;658618
"JC/DOLNÕ NOV¡/1994/822";"L¡ZNÃ BÃLOHRAD";"JC";93871;679330
"CK/DOLNÕ TÿEB/1995/846";"MOJN…";"CK";94898;698148
"CK/DOLNÕ TÿEB/1995/846";"Z¡HORKOVICE";"CK";99223;698156
"CK/DOLNÕ TÿEB/1995/846";"VELEäÕN";"CK";98551;777854
"CK/HORNÕ DVOÿ/1995/935";"»ESK› HERäL¡K";"CK";91023;642894
"TP/HRDLOVKA  /1990/054";"LIPTICE";"TP";94194;684821
"PV/JENäTEJN  /1994/841";"RADONICE";"PV";96604;738247
"JC/L¡NY      /1994/105";"L¡ZNÃ BELOHRAD";"JC";93871;679330
"JC/L¡NY      /1994/105";"PROSTÿEDNÕ NOV¡ VES";"JC";96351;679348
"PM/LITICE    /1993/149";"äLOVICE";"PJ";97929;762831
"TC/LOM U STÿÕ/1993/227";"ÿEBÿÕ";"TC";96887;761443
"KO/NOV¡ VES I/1986/028";"KUTLÕÿE";"KO";93785;675521
"PV/ODOLENA VO/1993/039";"DOLÕNEK";"PV";91293;708984
"PV/PANENSK… B/1993/046";"KLÕ»ANY";"PV";93204;666203
"KO/PLA“ANY   /1995/901";"DOBÿICHOV";"KO";91256;627801
"KH/POLI»ANY  /1993/947";"MALEäOV";"KH";94496;690830
"P9/PRAHA - HO/1994/152";"PRAHA - DOLNÕ PO»ERNICE";"P9";96197;629952
"P8/PRAHA - LI/1995/854";"PRAHA - VYSO»ANY";"P9";96288;731285
"P5/PRAHA - MO/1995/546";"PRAHA - KOäÕÿE";"P5";96223;728764
"PS/PÿEH›äOV  /1993/019";"KBELANY";"PS";93130;740543
"KV/RUPRECHTOV/1992/216";"DÃPOLTOVICE";"KV";91139;625515
"JC/SBÃÿ      /1994/749";"VYSOK… VESELÕ";"JC";99150;788350
"JC/SBÃÿ      /1994/907";"VYSOK… VESELÕ";"JC";99150;788350
"JC/SBÃÿ      /1994/907";"HROBI»ANY";"JC";92372;746312
"JC/SBÃÿ      /1994/907";"VELEäICE";"JC";98548;746339
"KH/SEDLEC    /1995/755";"KUTN¡ HORA";"KH";93786;677710
"KO/SKRAMNÕKY /1994/216";"éHERY";"KO";99603;748595
"RA/SRBE»     /1994/745";"MIL›";"RA";94765;695246
"KO/TUCHORAZ  /1994/945";"DOUBRAV»ICE";"KO";91515;631205
"JC/VELEäICE  /1994/713";"VYSOK… VESELÕ";"JC";99150;788350
"JC/VELEäICE  /1994/713";"SBÃÿ";"JC";96964;746321
"JC/VELEäICE  /1994/713";"HROBI»ANY";"JC";92372;746312
"JC/VELEäICE  /1994/747";"VYSOK… VESELÕ";"JC";99150;788350
"JC/VELEäICE  /1994/747";"SBÃÿ";"JC";96964;746321
"JC/VELEäICE  /1994/747";"HROBI»ANY";"JC";92372;746312
"KO/VR¡TKOV   /1995/917";"TISMICE";"KO";98092;767174
"KO/VR¡TKOV   /1995/917";"»ESK› BROD";"KO";91019;622737
"JC/BÿÕäçANY  /1996/306";"MILOVICE";"JC";94764;695203
"RA/DRAHOUä   /1997/320";"TLESTKY";"RA";98104;631981
"KH/DROBOVICE /1997/115";"FILIPOV";"KH";91704;618497
"RA/CHOTÃäOV  /1997/338";"BÕLENEC";"LN";90231;719676
"CK/KAPLICE   /1996/926";"éœ¡R";"CK";99532;739979
"CK/KAPLICE   /1996/926";"STÿÕTÃé";"CK";97654;739961
"PM/KÿIMICE   /1996/119";"RAD»ICE";"PM";96539;737411
"JN/LHOTKA    /1996/308";"VLASTIBOÿ";"JN";98837;783439
"KL/MAKOTÿASY /1995/223";"VELK… »Õ»OVICE";"PZ";98605;623555
"PV/MODLETICE /1994/241";"KUÿÕ";"PV";93781;677647
"CK/NETÿEBICE /1996/920";"STÿÕTÃé";"CK";97654;739961
"KO/OPATOVICE /1997/939";"»ERVEN… PE»KY";"KO";90960;620947
"P8/PRAHA - KO/1997/010";"PRAHA - LIBE“";"P8";96232;730891
"JC/SOBÃRAZ   /1997/207";"TÃäÕN";"JC";98069;751693
"TU/STANOVICE /1996/135";"HÿIBOJEDY";"TU";92411;648990
"JC/VAéICE    /1996/043";"BYSTÿICE";"JC";90748;616907
"KH/VINAÿE    /1996/944";"LOV»ICE";"KH";94336;604097
"CK/ZUB»ICE   /1996/913";"NETÿEBICE";"CK";95198;704041
"TC/CTIBOÿ    /1998/553";"HALéE";"TC";91774;636975
"KH/»¡SLAV    /1998/011";"TÿEBEäICE";"KH";98200;617776
"MB/»EJETICE  /1996/257";"DALOVICE";"MB";91094;624578
"BE/»ERNÕN    /1996/458";"ZDICE";"BE";99405;792446
"KO/DOUBRAV»AN/1998/112";"VRäICE";"KO";99048;791091
"KH/HORNÕ BU»I/1998/849";"DOLNÕ BU»ICE";"KH";91311;786217
"KH/HOSTOVLICE/1997/832";"OKÿESANE»";"KH";95484;709735
"JN/JANOV NAD /1997/323";"JABLONEC NAD NISOU";"JN";92756;655970
"PV/JAéLOVICE /1997/338";"KUÿÕ";"PV";93781;677647
"MB/KRPY      /1997/114";"KOä¡TKY";"MB";93438;670740
"LT/LEVOUSY   /1997/729";"HORKA";"LT";91993;634450
"RA/LHOTA POD /1998/214";"MUTÃJOVICE";"RA";94993;700428
"RA/LHOTA POD /1998/208";"MUTÃJOVICE";"RA";94993;700428
"TA/MÃäICE    /1994/932";"SEZIMOVO ⁄STÕ";"TA";97064;747688
"RK/NOV¡ VES U/1997/210";"VYHNANICE";"RK";99104;787540
"NB/P“OV      /1998/043";"NOV¡ VES";"NB";95286;653098
"JC/PODKOST   /1997/910";"VESEC U SOBOTKY";"JC";98688;683361
"JN/POLUBN›   /1997/030";"DESN¡";"JN";91140;625591
"JN/POLUBN›   /1997/030";"PÿÕCHOVICE";"JN";96457;669792
"KH/POTÃHY    /1998/850";"BRAT»ICE";"KH";90495;726389
"P0/PRAHA - BE/1996/252";"PRAHA - KOLOVRATY";"P0";96221;668591
"P4/PRAHA - KU/1998/031";"PRAHA - LIBUä";"P4";96234;728390
"P4/PRAHA - äE/1996/849";"VESTEC";"PZ";98716;781029
"P5/PRAHA - Tÿ/1996/854";"PRAHA - STODŸLKY";"P5";96268;755541
"P2/PRAHA - VI/1997/129";"PRAHA - VRäOVICE";"P0";96287;732257
"P5/PRAHA - ZL/1998/447";"PRAHA - TÿEBONICE";"P5";96277;770353
"PZ/PRŸHONICE /1998/317";"»ESTLICE";"PV";91035;623440
"PZ/PRŸHONICE /1998/318";"»ESTLICE";"PV";91035;623440
"CV/PÿESKAKY  /1998/355";"POL¡KY";"CV";96070;725048
"JC/SLAVHOSTIC/1998/107";"KOZOJEDY";"JC";93513;797677
"DO/SRBICE    /1998/944";"TÃäOVICE";"DO";98075;752924
"JC/SYLV¡RŸV ⁄/1998/115";"LÕSKOVICE";"JC";94198;684902
"JC/ä¡ROVCOVA /1998/938";"DOLNÕ NOV¡ VES";"JC";91392;679291
"BE/TÿENICE   /1997/257";"CERHOVICE";"BE";90776;617610
"KL/UHY       /1998/941";"PODHOÿANY";"ME";95981;702803
"KO/VELIM     /1998/924";"NOV¡ VES";"KO";95268;705713
"JC/VESEC U SO/1997/256";"DOBäÕN";"MB";91266;628131
"KO/VITICE    /1998/951";"CHOT›ä";"KO";92638;782807
"PV/VäECHROMY /1996/300";"JAéLOVICE";"PV";92844;745537
"PB/ZALUéANY  /1998/121";"LETY";"PI";93959;680770
"KH/ZBYSLAV   /1998/857";"HORNÕ BU»ICE";"KH";92018;786225
"JC/DOLNÕ DOBR/    /833";"HORNÕ DOBR¡ VODA";"JC";92029;627089
"JC/DOLNÕ DOBR/    /799";"HORNÕ DOBR¡ VODA";"JC";92029;627089
"JC/DOLNÕ DOBR/    /802";"HORNÕ DOBR¡ VODA";"JC";92029;627089
"JC/DOLNÕ DOBR/    /804";"HORNÕ DOBR¡ VODA";"JC";92029;627089
"SM/HORNÕ ROKY/    /937";"DOLNÕ ROKYTNICE";"SM";91421;740900
"CV/RA»ICE    /1988/556";"KRBICE";"CV";93600;520025
"CV/RA»ICE    /1988/556";"NAäÕ";"CV";95070;520024
"CV/RA»ICE    /1988/556";"BRANY";"CV";90492;674273
"KO/»ERN… VODÃ/1981/501";"ZV¡NOVICE";"PV";99480;793795
"MO/HAVRA“    /1989/521";"SABÃNICE";"MO";96940;520116
"HK/HRADEC KR¡/1984/356";"SLEZSK… PÿEDMÃSTÕ";"HK";97217;646971
"BE/CHODOU“   /1988/258";"LIBOMYäL";"BE";94106;683205
"CV/JILMOV¡   /1986/901";"HORA SVAT…HO äEBESTI¡NA";"CV";91984;641812
"CV/KADA“SK¡ J/1989/716";"⁄HOäçANY";"CV";98372;773271
"PM/KÿIMICE   /1988/630";"RAD»ICE";"PM";96539;737411
"MO/MOST      /1980/231";"VELEBUDICE";"MO";98538;749214
"CL/NEDAMOV   /1990/346";"DUB¡";"CL";91633;633291
