"KOD";"PORC_ADB";"CIS_ADB";"CP";"PPC";"PUV_ZN";"AUTOR_ADB";"INST_ADB";"ROK_ADB";"TVAR_ADB";"HROB";"KULT1";"KULT2";"KULT3";"KULT4";"KULT5";"KULT6";"POZN_ADB";"V_SYST"
"P1/PRAHA - NO/2010/291";2;0;;"2406";"s.02";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;"stredo";"novove";;;;;"Myslíkova, Praha 1+2.";"B"
"P1/PRAHA - NO/2010/291";3;0;;"2406";"s.03";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;"rstred";"vstred";"novove";;;;"Myslíkova, Praha 1+2.";"B"
"P1/PRAHA - NO/2010/291";4;0;;"2406";"s.04";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;"vs-no";;;;;;"Myslíkova, Praha 1+2.
(dokumentováno pouze koruny zdí)";"B"
"P1/PRAHA - NO/2010/291";5;0;;"2406";"s.05";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;;;;;;;"Myslíkova, Praha 1+2.
(dokumentováno pouze korunu zdi)";"B"
"P1/PRAHA - NO/2010/291";6;0;;"2406";"s.06";"Cymbalak T.";"NPÚ Praha";"2010";"L";0;"novove";;;;;;"Myslíkova - p.è.2406 + Spálená - p.è.2387, Praha 2.
(dokumentováno pouze korunu zdi)";"B"
"P1/PRAHA - NO/2010/291";7;0;;"2406";"s.07";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;"-";;;;;;"Myslíkova, p.è. 2406, Praha 1. (negativní)";"B"
"P1/PRAHA - NO/2010/291";8;0;;"2387";"s.08";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;;;;;;;"Spálená, p.è. 2387, Praha 2.";"B"
"P1/PRAHA - NO/2010/291";9;0;;"2387";"s.09";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;;;;;;;"Spálená, p.è. 2387, Praha 1+2.";"B"
"P1/PRAHA - NO/2010/291";10;0;;"2387";"s.10";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;;;;;;;"Spálená, p.è.2387, Praha 1+2.";"B"
"P1/PRAHA - NO/2010/291";11;0;;"2387";"s.11";"Cymbalak T.";"NPÚ Praha";"2010";"L";0;"novove";"-";;;;;"Spálená - p.è.2387, Praha 1+2.
(negativní)";"B"
"P1/PRAHA - NO/2010/337";0;0;"179/II";"880";;"Selmi Wallisová M.";"ÈSA, o.p.s.";"2010";"P";0;"-";;;;;;"Sniování dvora o 50 cm, pouze zahradní naváky, podloí nenalezeno.";"B"
"P1/PRAHA - NO/2010/365";1;0;;"725/1";"plocha A";"Cymbalak T.";"NPÚ Praha";"2010";"P";1;"rs/vs";"vs.1";"vs.2";"vs/no";"no.1";"no.2";;"B"
"P1/PRAHA - NO/2010/365";2;0;;"725/1";"plocha B";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;"rs/vs";"vs.1";"vs.2";"vs/no";"no.1";"no.2";;"B"
"P1/PRAHA - NO/2010/365";3;0;;"725/1";"plocha C";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;"rs/vs";"vs.1";"vs.2";"vs/no";"no.1";"no.2";;"B"
"P1/PRAHA - NO/2010/365";4;0;;"725/1";"plocha D";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;"vs.1";"vs.2";"vs/no";"no.1";"no.2";;;"B"
"P1/PRAHA - NO/2010/365";5;0;;"725/1";"plocha E";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;"vs.2";"vs/no";"no.1";"no.2";;;"Purkyòova / p.è.2384/1, 2384/2 /+ p.è.725/1.";"B"
"P1/PRAHA - NO/2010/365";6;0;;"2383/1";"bod F";"Cymbalak T.";"NPÚ Praha";"2010";"B";0;"stredo";"novove";;;;;"Vladislavova, p.è. 2383/1.";"B"
