"KOD";"PORC_ADB";"CIS_ADB";"CP";"PPC";"PUV_ZN";"AUTOR_ADB";"INST_ADB";"ROK_ADB";"TVAR_ADB";"HROB";"KULT1";"KULT2";"KULT3";"KULT4";"KULT5";"KULT6";"POZN_ADB";"V_SYST"
"P1/PRAHA - MA/2011/191";2;0;"73";"171";"Sonda 02";"Cymbalak T.";"NPÚ Praha";"2011";"P";0;"no.1";;;;;;"Archeol. dok. realizována v J konci spojovací chodby sklepa. Místnost è.p. 73. Chodba je lokal. uprostøed budovy a její umístìní odpovídá prùbìhu domovního prùjezdu v úrovni pøízemí. Povrch hist. Ter. 186,50 m n.m., jejich char. napovídá o jejich pøírodním pùvodu. Vıraznìjší pøímìs uhlíkù a pískù mezi støídajícími se polohami prachovitıch hlín s valounky a maltou poukazuje na mohutné pøesuny stavebních sutí a nivelaèní práce, jejich dùsledkem bylo zasypání zaniklého ramena Vltavy, které bylo dokonèeno a v prùbìhu vrcholného støedovìku a raného novovìku.";"B"
"P1/PRAHA - MA/2011/269";1;0;"286/III";;"sonda I";"Èiháková J.";"NPÚ Praha";"2011";"B";0;"vs.1";;;;;;;"B"
"P1/PRAHA - MA/2011/269";2;0;"286/III";;"sonda II, vızkum 2011/2";"Müller M.";"NPÚ Praha";"2011";"B";0;"vs.1";;;;;;;"B"
"P1/PRAHA - MA/2011/269";3;0;"286/III";;"sonda III, vızkum 2011/2";"Müller M.";"NPÚ Praha";"2011";"B";0;"vs.1";;;;;;;"B"
"P1/PRAHA - MA/2011/269";4;0;"286/III";;"sonda IV, vızkum 2011/2";"Müller M.";;"2011";"B";0;"vs/no";;;;;;"pro nebezpeèí dokumentováno jen fotograficky";"B"
"P1/PRAHA - MA/2011/270";1;0;"464/III";"304/2";"R1 (severní èást)";"Havrda J.";"NPÚ Praha";"2011";"L";0;"novove";"vs.2";"vs.1";;;;;"B"
"P1/PRAHA - MA/2011/270";2;0;"464";"304/2";"R1 (jiní èást) a R2";"Havrda J.";"NPÚ Praha";"2011";"P";0;"novove";"vs.2";"vs.1";;;;"Hladina spodní vody 186,26 m.";"B"
"P1/PRAHA - MA/2011/412";1;0;"439";"333";;"Havrda J.";"NPÚ Praha";"2011";"L";0;;;;;;;"Vybrán zásyp starších inenırskıch sítí na dvoøe domu.";"B"
"P1/PRAHA - MA/2011/443";1;0;"445/III";"799";"sonda 1";"Havrda J.";"NPÚ Praha";"2011";"B";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2011/443";2;0;"445/III";"799";"sonda 2";"Havrda J.";"NPÚ Praha";"2011";"B";0;"novove";"stredo";;;;;;"B"
"P1/PRAHA - MA/2011/443";3;0;"445/III";"799";"sonda 3";"Havrda J.";"NPÚ Praha";"2011";"B";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2011/443";4;0;"445/III";"799";"sonda 4";"Havrda J.";"NPÚ Praha";"2011";"B";0;"novove";"vs.2";;;;;;"B"
"P1/PRAHA - MA/2011/443";5;0;"445/III";"799";"sonda 5";"Havrda J.";"NPÚ Praha";"2011";"B";0;"no.2";;;;;;;"B"
"P1/PRAHA - MA/2011/450";1;0;"192/III";;"sonda I+VIII";"Èiháková J.";"NPÚ Praha";"2011";"P";0;"no.2";;;;;;"Sníenı povrch podloí + jímka zaplnìná na poè. 18. století. Nejvyšší bod skály v severní stìnì místnosti.";"B"
"P1/PRAHA - MA/2011/450";2;0;"192";;"Sonda V";"Èiháková J.";"NPÚ Praha";"2011";"L";0;"vs.1";;;;;;"Vıkop pro základovı pas pod schodištì proal objekt tvaru polozemnice zapuštìnı do skály a vyplnìnı bøidliènou drtí. Mezi nálezy není mladší keramika se zduøelımi okraji.";"B"
"P1/PRAHA - MA/2011/450";3;0;"192/III";;"sonda VII";"Èiháková J.";"NPÚ Praha";"2011";"P";0;"rs.4";"vs.1";"no.1";;;;"Mezi stìnou pøíkopu a jeho obezdìním z VS1 byla kapsa vyplnìná materiálem s keramikou vıluènì RS4.";"B"
"P1/PRAHA - MA/2011/450";4;0;"192/III";;"sonda IX";"Müller M.";"NPÚ Praha";"2011";"L";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2011/450";5;0;"192/III";;"sonda X";"Müller M.";;;"B";0;"novove";;;;;;"Zásyp nad klenbou neznámého schodištì.";"B"
"P1/PRAHA - MA/2011/450";6;0;"192/III";;"sonda XI";"Müller M.";"NPÚ Praha";"2011";"B";0;;;;;;;;"B"
"P1/PRAHA - MA/2011/450";7;0;"192/III";;"sonda XII";"Müller M.";"NPÚ Praha";"2011";"P";0;"rs.2";"rs.3";"rs.4";"rs/vs";;;"Prudkı svah k vıchodu pøekrytı pùdou, na západì odsekán do plošiny ji v dobì RS2.";"B"
"P1/PRAHA - MA/2011/450";8;0;"192/III";;"sonda XIIIa";"Müller M.";"NPÚ Praha";"2011";"L";0;"novove";;;;;;"Vıkop podél severní zdi refektáøe. Za zdí nízká štola ve skále, strop 237,05.";"B"
"P1/PRAHA - MA/2011/450";9;0;"192/III";;"sonda XIIIb";"Èiháková J.";"NPÚ Praha";"2011";"B";0;;;;;;;"Sníenı povrch skály v západní stìnì refektáøe.";"B"
"P1/PRAHA - MA/2011/487";1;0;"162";"596";"R1";"Havrda J.";"NPÚ Praha";"2011";"B";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2011/657";1;0;;"981";"Sonda 1";"Havrda J.";"NPÚ Praha";"2011";"L";1;"st-no";;;;;;;"B"
"P1/PRAHA - MA/2011/805";1;0;"385";"384";"sonda 1";"Havrda J.";"NPÚ Praha";"2011";"L";0;"novove";"stredo";;;;;;"B"
"P1/PRAHA - MA/2011/805";2;0;"385";"384";"sonda 2";"Havrda J.";"NPÚ Praha";"2011";"P";0;"novove";"stredo";;;;;;"B"
"P1/PRAHA - MA/2011/805";3;0;"385";"384";"sonda 3";"Havrda J.";"NPÚ Praha";"2011";"P";0;"rs.4";"vs.1";"vs.2";"novove";;;;"B"
"P1/PRAHA - MA/2012/156";1;0;"520/III";"240";"2012/18";"Èiháková J.";"NPÚ Praha";"2012";"L";0;"vs.2";;;;;;"Podloí nedosaeno.";"B"
"P1/PRAHA - MA/2012/215";1;0;"355";"433";"sonda 1 - øez R01";"Havrda J.";"NPÚ Praha";"2012";"L";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2012/215";2;0;"355";"433";"sonda 2 - øezy R02 a R09";"Havrda J.";"NPÚ Praha";"2012";"B";0;"rs.3";"vstred";;;;;;"B"
"P1/PRAHA - MA/2012/215";3;0;"355";"433";"sonda 2 (rıha) - R10, R11, R12";"Havrda J.";"NPÚ Praha";"2012";"L";0;"rs.3";"vstred";;;;;;"B"
"P1/PRAHA - MA/2012/215";4;0;"355";"432";"sonda 3 - R13, R14";"Havrda J.";"NPÚ Praha";"2012";"L";0;"vstred";;;;;;"Podloí zachyceno geologickım vrtákem.";"B"
"P1/PRAHA - MA/2012/243";1;0;"118";"129";"sonda 1 - R01";"Havrda J.";"NPÚ Praha";"2012";"L";0;"vstred";"novove";;;;;"Podloí pro novovìké navákové souvrství tvoøí povodòové hlíny, které sedimentovaly ve støedovìku a novovìku a obsahují neèetné artefakty.";"B"
"P1/PRAHA - MA/2012/243";2;0;"118";"129";"sonda 2 - R02";"Havrda J.";"NPÚ Praha";"2012";"B";0;"vstred";"novove";;;;;"Podloí pro novovìké navákové souvrství tvoøí povodòové hlíny, které sedimentovaly ve støedovìku a novovìku a obsahují neèetné artefakty.
Geologickım vrtákem dosaena úroveò 184,52 m n. m.";"B"
"P1/PRAHA - MA/2012/243";3;0;"118";"129";"sonda 3 - R03 a R06";"Havrda J.";"NPÚ Praha";"2012";"B";0;"vstred";"novove";;;;;"Podloí pro novovìké navákové souvrství tvoøí povodòové hlíny, které sedimentovaly ve støedovìku a novovìku a obsahují neèetné artefakty. Geologickım vrtákem dosaena úroveò 181,65 m n. m.";"B"
"P1/PRAHA - MA/2012/252";1;0;;"911/1";"R2-R9";"Cymbalak T.";"NPÚ Praha";"2012";"L";0;"stredo";"no.1";"no.2";;;;;"B"
"P1/PRAHA - MA/2012/252";2;0;;"906";"R01, R10-R12";"Cymbalak T.";"NPÚ Praha";"2012";"L";0;"stredo";"no.2";;;;;;"B"
"P1/PRAHA - MA/2012/259";1;0;"486";"270";"zahrada";"Staòková V.";"NPÚ Praha";"2012";"P";0;"no.2";;;;;;;"B"
"P1/PRAHA - MA/2012/259";2;0;"486";"257";"nádvoøí";"Staòková V.";"NPÚ Praha";"2012";"L";0;;;;;;;"Recent.";"B"
"P1/PRAHA - MA/2012/343";1;0;" 312";"40";"sonda 1, øez 1, 2";"Havrda J.";"NPÚ Praha";"2012";"B";0;"stredo";;;;;;"Geologickım vrtákem podloí jednoznaènì nezastieno na niveletì  207,90. Vrtákem byla zasaena patrnì vıplò neznámé sníeniny èi objektu.";"B"
"P1/PRAHA - MA/2012/343";2;0;" 312";"40";"sonda 2, øez 3, 4";"Havrda J.";"NPÚ Praha";"2012";"B";0;"stredo";;;;;;"Geologickım vrtákem byla na niveletì 209,46 zastiena svahová hlína èi pozvolnı pøechod do svahovin, prozkoumáno na niveletu 209,37.";"B"
"P1/PRAHA - MA/2012/343";3;0;"312";"40";"sonda 3, øez 5";"Havrda J.";"NPÚ Praha";"2012";"B";0;"stredo";;;;;;"Geologickım vrtákem prozkoumána stratigrafie na niveletu 211,23.";"B"
"P1/PRAHA - MA/2012/343";4;0;"312";"40";"sonda 4, øez 6";"Havrda J.";"NPÚ Praha";"2012";"B";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2012/343";5;0;"312";"40";"sonda 5, øez 7";"Havrda J.";"NPÚ Praha";"2012";"B";0;"vstred";;;;;;;"B"
"P1/PRAHA - MA/2012/343";6;0;"312";"40";"sonda 6, øez 8";"Havrda J.";"NPÚ Praha";"2012";"B";0;;;;;;;;"B"
"P1/PRAHA - MA/2012/453";1;0;"445";"799";;"Staòková V.";"NPÚ Praha";"2012";"P";0;"no.2";;;;;;;"B"
"P1/PRAHA - MA/2012/466";1;0;;"137/2";"2012/40";"Èiháková J.";"NPÚ Praha";"2012";"L";0;"no.2";;;;;;"Podloí nedosaeno, historické terény nezastieny.";"B"
"P1/PRAHA - MA/2012/485";1;0;"485";"248";;"Staòková V.";"NPÚ Praha";"2012";"B";0;;;;;;;"Recent.";"B"
"P1/PRAHA - MA/2012/606";1;0;"250/III";"59";"2012/23";"Èiháková J.";"NPÚ Praha";"2012";"P";0;;;;;;;"Zastien sníenı povrch podloních svahovin.";"B"
"P1/PRAHA - MA/2012/649";1;0;"73";"171";;"Cymbalak T.";"NPÚ Praha";"2012";"B";0;"no.1";;;;;;"Pokraèování akce z roku 2008 a 2011.";"B"
"P1/PRAHA - MA/2012/813";1;0;"449";"318";;"Staòková V.";"NPÚ Praha";"2012";"B";0;;;;;;;"Recent.";"B"
"P1/PRAHA - MA/2012/821";1;0;"519";"994";"R01";"Cymbalak T.";"NPÚ Praha";"2012";"B";0;"rs.4";"rs/vs";"vs.1";"vs-no";"no.2";;;"B"
"P1/PRAHA - MA/2012/850";1;0;"362";"424";"øez R1";"Havrda J.";"NPÚ Praha";"2012";"L";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2012/850";2;0;"362";"424";"øez R2";"Havrda J.";"NPÚ Praha";"2012";"L";0;"rs.4";;;;;;;"B"
"P1/PRAHA - MA/2012/850";3;0;"362";"425";"øez R3";"Havrda J.";"NPÚ Praha";"2012";"L";0;"rs.3";"vs.1";"novove";;;;;"B"
"P1/PRAHA - MA/2012/850";4;0;"362";"425";"øez R4";"Havrda J.";"NPÚ Praha";"2012";"L";0;"rs.3";"vs.1";"novove";;;;;"B"
"P1/PRAHA - MA/2012/850";5;0;"362";"425";"øez R5";"Havrda J.";"NPÚ Praha";"2012";"L";0;"rs.3";"vs.1";"novove";;;;;"B"
"P1/PRAHA - MA/2012/850";6;0;"362";"425";"øez R6";"Havrda J.";"NPÚ Praha";"2012";"B";0;"rstred";"novove";;;;;;"B"
"P1/PRAHA - MA/2012/850";7;0;"362";"426";"øez R7";"Havrda J.";"NPÚ Praha";"2012";"L";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2012/874";1;0;"480";"269";"S01";"Cymbalak T.";"NPÚ Praha";"2012";"P";0;"rs/vs";"vs.1";"vstred";"no.1";"no.2";;"Nejniší bod v sondì 188,46 m Bpv., podloí (svahová hlína) 189,19 m Bpv.";"B"
"P1/PRAHA - MA/2012/937";1;0;;"1001";"øez R01";"Havrda J.";"NPÚ Praha";"2012";"L";0;"st-no";;;;;;;"B"
"P1/PRAHA - MA/2012/937";2;0;;"1001";"øez R02";"Havrda J.";"NPÚ Praha";"2012";"L";0;"st-no";;;;;;;"B"
"P1/PRAHA - MA/2012/937";3;0;;"1001";"øez R03";"Havrda J.";"NPÚ Praha";"2012";"B";0;"st-no";;;;;;;"B"
"P1/PRAHA - MA/2012/937";4;0;;"1001";"øez R04";"Havrda J.";"NPÚ Praha";"2012";"L";0;"st-no";;;;;;;"B"
"P1/PRAHA - MA/2012/937";5;0;;"1001";"øez R05";"Havrda J.";"NPÚ Praha";"2012";"B";0;"st-no";;;;;;;"B"
"P1/PRAHA - MA/2012/937";6;0;;"1001";"øez R06";"Havrda J.";"NPÚ Praha";"2012";"B";0;"st-no";;;;;;;"B"
"P1/PRAHA - MA/2012/937";7;0;;"1001";"øez R07";"Havrda J.";"NPÚ Praha";"2012";"B";0;"st-no";;;;;;;"B"
"P1/PRAHA - MA/2012/937";8;0;;"1001";"øez R08";"Havrda J.";"NPÚ Praha";"2012";"B";0;"st-no";;;;;;;"B"
"P1/PRAHA - MA/2012/937";9;0;;"1001";"øez R09";"Havrda J.";"NPÚ Praha";"2012";"B";0;"st-no";;;;;;;"B"
"P1/PRAHA - MA/2013/263";1;0;"239";;"sonda I";"Èiháková J.";"NPÚ Praha";"2013";"B";0;"vs.2";"no.2";;;;;;"B"
"P1/PRAHA - MA/2013/263";2;0;"239";"460";"sonda II";"Èiháková J.";"NPÚ Praha";"2013";"B";0;"rs.4";"vs.1";"no.2";;;;;"B"
"P1/PRAHA - MA/2013/372";1;0;"40";"199";"øez R01";"Havrda J.";"NPÚ Praha";"2013";"L";0;;;;;;;"Geologickım vrtákem dosaeno nivelety 192,40. Podloí nezastieno.";"B"
"P1/PRAHA - MA/2013/374";1;0;"486";"257";"2013/10";"Staòková V.";"NPÚ Praha";"2013";"L";0;;;;;;;"Recent.";"B"
"P1/PRAHA - MA/2013/397";1;0;"515";"742/7";"S01";"Podliska J.";"NPÚ Praha";"2013";"P";0;"novove";;;;;;"Navákové souvrství, dlaba ze ètvercovıch cihlovıch dladic.";"B"
"P1/PRAHA - MA/2013/397";2;0;"515";"742/7";"S02";"Podliska J.";"NPÚ Praha";"2013";"L";0;"novove";"stredo";;;;;"Valounová dlaba, navákové souvrství, øíèní náplavy, pilíø Juditina mostu.";"B"
"P1/PRAHA - MA/2013/397";3;0;"515";"742/7";"S03";"Podliska J.";"NPÚ Praha";"2013";"L";0;"novove";"stredo";;;;;"Valounová dlaba, navákové souvrství, øíèní náplavy, pilíø Juditina mostu.";"B"
"P1/PRAHA - MA/2013/397";4;0;"515";"742/7";"S04";"Podliska J.";"NPÚ Praha";"2013";"L";0;"novove";"stredo";;;;;"Øíèní náplavy, pilíø Juditina mostu.";"B"
"P1/PRAHA - MA/2013/397";5;0;"515";"742/7";"S05";"Podliska J.";"NPÚ Praha";"2013";"L";0;"novove";"stredo";;;;;"Øíèní náplavy, pilíø Juditina mostu.";"B"
"P1/PRAHA - MA/2013/525";1;0;;"1001";"sonda S1, øezy RJ, RV";"Havrda J.";"NPÚ Praha";"2013";"B";0;;"st-no";;;;;"podloí. Patrnì o nìco málo sníené na niveletì 214,13 m, tj. 0,77 m od dnešního povrchu vozovky.";"B"
"P1/PRAHA - MA/2013/623";1;0;"187";"551";"øez 1";"Èiháková J.";"NPÚ Praha";"2013";"L";0;"-";"no.2";;;;;"sníenı povrch skalního podloí pøekrytı navákou";"B"
"P1/PRAHA - MA/2013/702";0;0;;"509";"øez 1";"Èiháková J.";"NPÚ Praha";"2013";"L";0;"no.1";;;;;;"Parcela 509 je uvnitø bloku mezi Nerudovou a Zámeckımi schody, nemá vlastní pøístup z ulice.";"B"
"P1/PRAHA - MA/2013/813";1;0;"486";"257";"S1";"Staòková V.";"NPÚ Praha";"2013";"P";0;"vs.2";"no.2";;;;;"Suterén, kutura vs. 2 zachycena sondáí ruèním vrtákem ze dna sondy S1.";"B"
"P1/PRAHA - MA/2013/813";2;0;"486";"257";"S2";"Staòková V.";"NPÚ Praha";"2013";"B";0;"no.2";;;;;;"Suterén, studna.";"B"
"P1/PRAHA - MA/2013/813";3;0;"486";"257";"S3";"Staòková V.";"NPÚ Praha";"2013";"P";0;"vs.2";"no.2";;;;;"Suterén - dvùr.";"B"
"P1/PRAHA - MA/2013/813";4;0;"486";"257";"S4";"Staòková V.";"NPÚ Praha";"2013";"B";0;"no.2";;;;;;"Nová konírna.";"B"
"P1/PRAHA - MA/2013/813";5;0;"486";"257";"S5";"Staòková V.";"NPÚ Praha";"2013";"L";0;"no.2";;;;;;"Suterén, stará konírna.";"B"
"P1/PRAHA - MA/2013/813";6;0;"486";"257";"S6";"Staòková V.";"NPÚ Praha";"2013";"P";0;"no.2";;;;;;"Dvùr.";"B"
"P1/PRAHA - MA/2013/813";7;0;"486";"257";"S7";"Staòková V.";"NPÚ Praha";"2013";"B";0;"no.2";;;;;;"Dvùr, studna.";"B"
"P1/PRAHA - MA/2013/952";1;0;"24";"93";"sonda 1";"Èiháková J.";"NPÚ Praha";"2013";;0;;;;;;;;"B"
"P1/PRAHA - NO/2004/481";1;0;;"2514";"Kanalizaèní šachta";"Starec P.";"MM Praha";"2004";"B";0;"vs.2";"novove";;;;;;"B"
"P1/PRAHA - NO/2004/530";1;0;;"2514";"Kanalizaèní šachta";"Starec P.";"MM Praha";"2004";"B";0;"vs.2";"novove";;;;;;"B"
"P1/PRAHA - NO/2004/538";1;0;;"2381";"Vodovodní pøípojka";"Starec P.";"MM Praha";"2004";"B";0;"vs.2";;;;;;;"B"
"P1/PRAHA - NO/2004/943";1;0;;"2514";"Kanalizaèní šachta";"Starec P.";"MM Praha";"2004";"B";0;"vs.2";"novove";;;;;;"B"
"P1/PRAHA - NO/2004/960";1;0;;"2514";"Kanalizaèní šachta";"Starec P.";"MM Praha";"2004";"B";0;"vs.2";"novove";;;;;;"B"
"P1/PRAHA - NO/2004/998";1;0;;"2514";"Kolektorová šachta Š21";"Starec P.";"MM Praha";"2004";"P";0;"vs.2";"novove";;;;;;"B"
"P1/PRAHA - NO/2005/740";1;0;;"2514";"Kabelová komora KKIV";"Starec P.";"MM Praha";"2005";"P";0;"vs.2";"novove";;;;;;"B"
"P1/PRAHA - NO/2005/980";1;0;;"2516";"Kabelová komora KKV";"Starec P.";"MM Praha";"2005";"P";0;"novove";;;;;;;"B"
"P1/PRAHA - NO/2008/952";1;0;"1308";"555";"Sonda 1";"Starec P.";"MM Praha";"2008";"B";0;"no.1";"no.2";;;;;;"B"
"P1/PRAHA - NO/2008/952";2;0;"1308";"555";"Sonda 2";"Starec P.";"MM Praha";"2008";"B";0;"no.2";;;;;;;"B"
"P1/PRAHA - NO/2008/952";3;0;"1308";"555";"Sonda 3";"Starec P.";"MM Praha";"2008";"B";0;"no.2";;;;;;;"B"
"P1/PRAHA - NO/2010/111";1;0;;"2384";"Sonda II";"Staòková V.";"NPÚ Praha";"2010";"P";0;"vs.1";"vs.2";"no.1";;;;"Sonda prostorovì navazuje na ZAV NPÚ HMP 2009/40 (Sonda I).";"B"
"P1/PRAHA - NO/2010/137";1;0;;"1129";"R1";"Staòková V.";"NPÚ Praha";"2010";"B";0;"vstred";;;;;;"R1 - Starší zdìné konstrukce pøed èp. 344 , Na Peštınì, k.ú. Staré mìsto.";"B"
"P1/PRAHA - NO/2010/137";2;0;;"2416/1";"R2";"Staòková V.";"NPÚ Praha";"2010";"B";0;"vs.2";;;;;;"R2 - hranice chodníku a parku, naproti èp. 292, Karlovo nám., k. ú. Nové mìsto.";"B"
"P1/PRAHA - NO/2010/137";3;0;;"2416/1";"R3";"Staòková V.";"NPÚ Praha";"2010";"B";0;"vs.2";;;;;;"R3 - hranice chodníku a parku, naproti èp. 287, Karlovo nám., k. ú. Nové mìsto.";"B"
"P1/PRAHA - NO/2010/137";4;0;;"2501";"R4 + R5";"Staòková V.";"NPÚ Praha";"2010";"L";0;"vstred";;;;;;"R4 + R5 - pøed èp. 547, Jeèná, k. ú. Nové mìsto.";"B"
"P1/PRAHA - NO/2010/137";5;0;;"2392";"R6";"Staòková V.";"NPÚ Praha";"2010";"B";0;"vs.2";;;;;;"R6 - pøed èp. 547, Opatovická, k. ú. Nové mìsto.";"B"
"P1/PRAHA - NO/2010/137";6;0;;"2395";"R7";"Staòková V.";"NPÚ Praha";"2010";"L";0;"vs.2";;;;;;"R7 - pøed èp. 125, Ostrovní, k. ú. Nové mìsto.";"B"
"P1/PRAHA - NO/2010/137";7;0;;"2395";"R8";"Staòková V.";"NPÚ Praha";"2010";"L";0;"vstred";;;;;;"R8 - pøed èp. 131, Ostrovní, k. ú. Nové mìsto.";"B"
"P1/PRAHA - NO/2010/291";1;0;;"2406";"s.01";"Cymbalak T.";"NPÚ Praha";"2010";"B";0;"vs.1";"no.1";"no.2";;;;"Myslíkova, Praha 1+2.";"B"
