"KOD";"AUTORI";"TITUL";"MISTO";"CASOP";"ROCNIK";"ROK";"STR"
"ST/PARAÈOV   /1914/736";"Lutovskı M.";"ZÈSA, Supplementum 21";;;;"1993";"5, T.V:18"
"ST/ØEPICE    /1927/408";"Lutovskı M.";"ZÈSA, Supplementum 21";;;;"1993";"5"
"TA/BECHYÒSKÁ /1941/820";"Lutovskı M.";"ZÈSA, Supplementum 21";;;;"1993";"2, T.X:5"
"TA/DRAIÈKY  /1977/319";"Lutovskı M.";"ZÈSA, Supplementum 21";;;;"1993";"3,T.XII:6"
"TA/RADÌTICE  /1909/137";"Lutovskı M.";"ZÈSA, Supplementum 21";;;;"1993";"5, T. XI"
"TA/VESELÍ NAD/1951/018";"Lutovskı M.";"ZÈSA, Supplementum 21";;;;"1993";"33"
"TA/VESELÍ NAD/1951/145";"Lutovskı M.";"ZÈSA, Supplementum 21";;;;"1993";"6, T.XIII"
"PB/KONÌTOPY  /1939/624";"Lutovskı M.";"Sborník Západoèeského muzea v Plzni, Historie VIII";;;;"1992";"162-170"
"CB/LÉKAØOVA L/1958/539";"Lutovskı M.";"Ranì støedovìké nálezy z jiních Èech ve sb.NM Praha, ZÈAS, Suppl.21";;;;"1993";"4"
"CB/LÉKAØOVA L/1972/553";"Lutovskı M.";"Ranì støedovìké nálezy z jiních Èech ve sb.NM Praha, ZÈAS, Suppl.21";;;;"1993";"4"
"CB/LÉKAØOVA L/1942/431";"Lutovskı M.";"Ranì støedov.nálezy z ji.Èech ve sbírkách NM v Praze, ZÈAS Suppl.21";;;;"1993";
"JC/SLAVHOSTIC/1986/235";"Lutovskı M.";"BZO 1986-87";;;;"1989";"178"
"JC/VRŠCE     /1986/727";"Lutovskı M.";"BZO 1986-87";;;;"1989";"216"
"MB/BOJETICE  /1987/622";"Lutovskı M.";"BZO 1986-87";;;;"1989";"21"
"JC/SLAVHOSTIC/    /494";"Lutovskı M.";"BZO 1986/87, 413. Praha";;;;;
"JC/VRŠCE     /    /102";"Lutovskı M.";"BZO 1986/1987, 514. Praha 1989.";;;;;
"CK/JARONÍN   /1973/104";"Lutovskı M.";"Archeologické vızkumy v jiních Èechách 7";;;;"1990";"83-96"
"ST/BÌLÈICE   /1934/721";"Lutovskı M.";"Archeologické vızkumy v jiních Èechách 7";;;;"1990";"77-82"
"ST/BUZICE    /2000/458";"Lutovskı M., Michálek J.";"AVJÈ 14";;;;"2001";
"ST/LIBÌTICE  /1999/405";"Lutovskı M., Michálek J.";"AVJÈ 14";;;;"2001";
"ST/LIBÌTICE  /1998/025";"Lutovskı M., Michálek J.";"AVJÈ 12";;;;"1999";"61-67"
"ST/LIBÌTICE  /1998/734";"Lutovskı M., Michálek J.";"AVJÈ 12";;;;"1999";"61-67"
"ST/STRAKONICE/1997/635";"Lutovskı M., Michálek J.";"AVJÈ 11";;;;"1998";"52-68"
"ST/SKOÈICE   /1996/505";"Lutovskı M., Michálek J.";"AVJÈ 10";;;;"1997";"7-22"
"PB/VOLTİØOV  /1989/514";"Lutovskı M., Smejtek L.";"ÈNM, Hist.162, 3-4";;;;"1993";"65-73"
"JC/VESEC U SO/1988/135";"Lutovskı M., Waldhauser J.";"AR 43";;;;"1991";"135; obr. 1"
"MB/DOBŠÍN    /1986/902";"Lutovskı M., Waldhauser J.";"AR 43";;;;"1991";"133-137"
"SM/MAŠOV     /1999/035";"Macek P., Novosadová";"Stavebnì historickı prùzkum hradu Valdštejna";;;;;
"SY/LÁZY      /    /759";"Mackerle J.";"Pravìk Malé Hané,9.Jevíèko.";;;;"1948";
"SY/HRADEC NAD/    /534";"Mackerle J.";"Pravìk Malé Hané,9. Jevíèko.";;;;"1948";
"SY/KØENOV    /    /749";"Mackerle J.";"Pravìk Malé Hané,9. Jevíèko";;;;"1948";
"SY/CHORNICE  /    /550";"Mackerle J.";"Pravìk Malé Hané,9,Jevíèko";;;;"1948";
"SY/ÈTYØICET L/    /420";"Mackerle J.";"Pravìk Malé Hané,9, Jevíèko.";;;;"1948";
"SY/RADIMÌØ   /    /086";"Mackerle J.";"Pravìk Malé Hané,9, Jevíèko.";;;;"1948";
"SY/RYCHNOV   /    /109";"Mackerle J.";"Pravìk Malé Hané,9, Jevíèko.";;;;"1948";
"UO/DAMNÍKOV  /    /878";"Mackerle J.";"Pravìk Malé Hané,9, Jevíèko.";;;;"1948";
"SY/PETRÙVKA  /    /039";"Mackerle J.";"Pravìk Malé Hané,5.Jevíèko";;;;"1948";
"SY/DÌTØICHOV /    /442";"Mackerle J.";"Pravìk Malé Hané, str.9. Jevíèko";;;;"1948";
"SY/GRUNA     /    /505";"Mackerle J.";"Pravìk Malé Hané, str.9,Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /627";"Mackerle J.";"Pravìk Malé Hané, str.9,Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /628";"Mackerle J.";"Pravìk Malé Hané, str.9,Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /629";"Mackerle J.";"Pravìk Malé Hané, str.9,Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /630";"Mackerle J.";"Pravìk Malé Hané, str.9,Jevíèko.";;;;"1948";
"SY/PETRUŠOV  /    /029";"Mackerle J.";"Pravìk Malé Hané, str.9,Jevíèko.";;;;"1948";
"SY/TØEBAØOV  /    /214";"Mackerle J.";"Pravìk Malé Hané, str.9,Jevíèko.";;;;"1948";
"SY/KARLE     /    /724";"Mackerle J.";"Pravìk Malé Hané, str.9, Jevíèko.";;;;"1948";
"SY/NOVÁ VES U/    /990";"Mackerle J.";"Pravìk Malé Hané, str.9, Jevíèko.";;;;"1948";
"SY/STARÉ MÌST/    /143";"Mackerle J.";"Pravìk Malé Hané, str.9, Jevíèko.";;;;"1948";
"SY/SMOLNÁ    /    /140";"Mackerle J.";"Pravìk Malé Hané, str.8, Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /626";"Mackerle J.";"Pravìk Malé Hané, str.6. Jevíèko";;;;"1948";
"SY/DLOUHÁ LOU/    /455";"Mackerle J.";"Pravìk Malé Hané, str.5.Jevíèko";;;;"1948";
"SY/MORAVSKÁ T/    /960";"Mackerle J.";"Pravìk Malé Hané, str.5. Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /625";"Mackerle J.";"Pravìk Malé Hané, str.5. Jevíèko";;;;"1948";
"SY/DLOUHÁ LOU/    /456";"Mackerle J.";"Pravìk Malé Hané, str.4.Jevíèko";;;;"1948";
"SY/MORAVSKÁ T/    /959";"Mackerle J.";"Pravìk Malé Hané, str.4. Jevíèko.";;;;"1948";
"SY/POLIÈKA   /    /047";"Mackerle J.";"Pravìk Malé Hané, str.10,Jevíèko.";;;;"1948";
"SY/STAŠOV    /    /151";"Mackerle J.";"Pravìk Malé Hané, str.10, Jevíèko.";;;;"1948";
"SY/VRÁNÉ    /    /260";"Mackerle J.";"Pravìk Malé Hané, pøíloha I. Jevíèko.";;;;"1948";
"SY/SVITAVY   /    /157";"Mackerle J.";"Pravìk Malé Hané, 5. Jevíèko.";;;;"1948";
"SY/TØEBAØOV  /    /212";"Mackerle J.";"Pravìk Malé Hané, 5. Jevíèko.";;;;"1948";
"SY/VRÁNÉ    /    /257";"Mackerle J.";"Pravìk Malé Hané, 5. Jevíèko";;;;"1948";
"SY/JEVÍÈKO   /    /667";"Mackerle J.";"Pravìk Malé Hané, 24.(Pozn.1). Jevíèko";;;;"1948";
"SY/JEVÍÈKO   /    /661";"Mackerle J.";"Pravìk Malé Hané, 22. Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /662";"Mackerle J.";"Pravìk Malé Hané, 22. Jevíèko.";;;;"1948";
"SY/CHORNICE  /    /551";"Mackerle J.";"Pravìk Malé Hané, 19. Jevíèko.";;;;"1948";
"SY/CHORNICE  /    /552";"Mackerle J.";"Pravìk Malé Hané, 19. Jevíèko.";;;;"1948";
"SY/JAROMÌØICE/    /575";"Mackerle J.";"Pravìk Malé Hané, 19. Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /635";"Mackerle J.";"Pravìk Malé Hané, 19. Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /636";"Mackerle J.";"Pravìk Malé Hané, 19. Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /660";"Mackerle J.";"Pravìk Malé Hané, 19. Jevíèko.";;;;"1948";
"SY/CHORNICE  /    /560";"Mackerle J.";"Pravìk Malé Hané, 19. Jevíèko";;;;"1948";
"SY/JEVÍÈKO   /    /658";"Mackerle J.";"Pravìk Malé Hané, 17.-18. Jevíèko.";;;;"1948";
"SY/DÌTØICHOV /    /444";"Mackerle J.";"Pravìk Malé Hané, 16. Jevíèko.";;;;"1948";
"SY/NOVÁ VES U/    /991";"Mackerle J.";"Pravìk Malé Hané, 16. Jevíèko.";;;;"1948";
"SY/PETRÙVKA  /    /040";"Mackerle J.";"Pravìk Malé Hané, 16. Jevíèko.";;;;"1948";
"SY/UNERÁZKA  /    /230";"Mackerle J.";"Pravìk Malé Hané, 15. Jevíèko.";;;;"1948";
"SY/BISKUPICE /    /305";"Mackerle J.";"Pravìk Malé Hané, 15. Jevíèko.";;;;"1948";
"SY/CHORNICE  /    /557";"Mackerle J.";"Pravìk Malé Hané, 15. Jevíèko.";;;;"1948";
"SY/JAROMÌØICE/    /582";"Mackerle J.";"Pravìk Malé Hané, 15. Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /648";"Mackerle J.";"Pravìk Malé Hané, 15. Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /649";"Mackerle J.";"Pravìk Malé Hané, 15. Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /650";"Mackerle J.";"Pravìk Malé Hané, 15. Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /651";"Mackerle J.";"Pravìk Malé Hané, 15. Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /652";"Mackerle J.";"Pravìk Malé Hané, 15. Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /654";"Mackerle J.";"Pravìk Malé Hané, 15. Jevíèko.";;;;"1948";
"SY/MORAVSKÁ T/    /962";"Mackerle J.";"Pravìk Malé Hané, 15. Jevíèko.";;;;"1948";
"SY/SMOLNÁ    /    /141";"Mackerle J.";"Pravìk Malé Hané, 15. Jevíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /653";"Mackerle J.";"Pravìk Malé Hané, 15. Jevíèko";;;;"1948";
"SY/CHORNICE  /    /556";"Mackerle J.";"Pravìk Malé Hané, 15. Javíèko.";;;;"1948";
"SY/JEVÍÈKO   /    /638";"Mackerle J.";"Pravìk Malé Hané, 13. Javíèko";;;;"1948";
"SY/LÁZY      /    /760";"Mackerle J.";"Pravìk Malé Hané, 11. Jevíèko";;;;"1948";
"SY/JEVÍÈKO   /    /685";"Mackerle J.";"Letopis mìsta Jevíèka, 73-74. Brno";;;;"1958";
"SY/JEVÍÈKO   /    /682";"Mackerle J.";"Letopis mìsta Jevíèka, 40. Brno";;;;"1958";
"SY/BORŠOV    /    /338";"Mackerle J.";"Letopis mìsta Jevíèka, 34. Brno";;;;"1958";
"SY/MÌSTEÈKO T/    /920";"Mackerle J.";"Letopis mìsta Jevíèka, 34. Brno";;;;"1958";
"SY/JEVÍÈKO   /    /679";"Mackerle J.";"Letopis mìsta Jevíèka, 33. Brno";;;;"1958";
"SY/HARTINKOV /    /511";"Mackerle J.";"Letopis mìsta Jevíèka, 32. Brno";;;;"1958";
"SY/CHORNICE  /    /570";"Mackerle J.";"Letopis mìsta Jevíèka, 32. Brno";;;;"1958";
"SY/UNERÁZKA  /    /233";"Mackerle J.";"Letopis mìsta Jevíèka, 31. Brno";;;;"1958";
"SY/JEVÍÈKO   /    /681";"Mackerle J.";"Letopis mìsta Jevíèka, 29. Brno";;;;"1958";
"SY/JEVÍÈKO   /    /695";"Mackerle J.";"Letopis mìsta Jevíèka, 28. Brno";;;;"1958";
"SY/JEVÍÈKO   /    /698";"Mackerle J.";"Letopis mìsta Jevíèka, 27-28. Brno";;;;"1958";
"SY/JEVÍÈKO   /    /687";"Mackerle J.";"Letopis mìsta Jevíèka, 22. Brno";;;;"1958";
"SY/JEVÍÈKO   /    /689";"Mackerle J.";"Letopis mìsta Jevíèka, 22, 57. Brno";;;;"1958";
"SY/JAROMÌØICE/    /585";"Mackerle J.";"Letopis mìsta Jevíèka, 18. Brno";;;;"1958";
"SY/RADKOV    /    /104";"Mackerle J.";"Letopis mìsta Jevíèka, 16. Brno";;;;"1958";
"SY/JEVÍÈKO   /    /688";"Mackerle J.";"Letopis mìsta Jevíèka, 16, 22. Brno";;;;"1958";
"SY/BÌLÁ U JEV/    /257";"Mackerle J.";"Letopis mìsta Jevíèka, 12. Brno";;;;"1958";
"UL/NEŠTÌMICE /    /165";"Mahling W.";"Die Bodenbacher Gruppe,Prag 1944,104-123,tab. 26-31;";;;;;
"DC/KØEŠICE   /    /445";"Mahling W.";"Die Bodenbacher Gruppe,1944,90-96";;;;;
"DC/PODMOKLY  /    /461";"Mahling W.";"Die Bodenbacher Gruppe,1944";;;;;
"LI/KOBYLY    /    /027";"Mahling W.";"Das spatlatenezeitliche Brandgraberfeld von K.,1944";;;;"1884";
"CL/JESTØEBÍ  /    /935";"Mahling W.";"Das spatlatenezeitliche Brandg.von Kobil,1944,82n.";;;;;
"RA/KOLEŠOVICE/    /686";"Mahr";"Sudeta 1930";;;;;
"CB/STROPNICE /2001/649";"Mácha O., Muk J.";"Cuknštejn. Stavebnì historickı prùzkum";;;;"1977";
"PS/VEJPRNICE /    /862";"Macháèek F.";"Sbornik Plzen IV,161";;;;;
"PS/CHRÁST    /2002/501";"Macháèek F.";"Sborník Mìstského historického muzea v Plzni IX, za rok 1924-25";;;;"1926";"24"
"PS/ZBÙCH     /    /885";"Macháèek F.";"Sbornik mest.hist.musea v Plzni IX '26,25";;;;;
"PS/VEJPRNICE /    /866";"Macháèek F.";"Sbornik mest.hist.musea v Plzni IV 1919,161;";;;;;
"PS/TLUÈNÁ    /    /851";"Macháèek F.";"Sbornik mest.hist.musea IX,za r.1924-1925,Plzen 1926,25";;;;;
"SM/TURNOV    /2001/902";"Macháèková L., Prostøedník J.";"Otázky neolitu a eneolitu našich zemí, Pravìk NØ - Supplementum 8";;;;"2001";"140-190"
"SM/TURNOV    /2001/902";"Macháèková L., Prostøedník J.";"BZO 1998";;;;"1999";
"CB/BOHUNICE  /2002/100";"Machula J.";"Vıbìr 40";;;;"2003";"83-87"
"ST/LNÁØE     /1986/809";"Majer A.";"Dìjiny osady Lnáøská";;;;"1923";"13"
"BE/KOTOPEKY  /    /102";"Malièkı J.";"Vlastivìdnı sborník Podbrdska 2";;;;;"17"
"BE/VELKÁ VÍSK/1964/515";"Malièkı J.";"Vlastivìdnı sborník Podbrdska 2";;;;"1968";"174-175"
"PB/NEPOMUK   /    /004";"Malièkı J.";"Vlastivedny sb.Podbrdska 2,1968,178n";;;;;
"BE/VELKÁ VÍSK/    /311";"Malièkı J.";"Vlast.sb.Podbrdsko 2 1968,173";;;;;
"BE/KOTOPEKY  /    /101";"Malièkı J.";"Vlast.sb.Podbradska 2,1968,173";;;;;
"BE/PRASKOLESY/    /215";"Malièkı J.";"Vl.sb.Pod.2 1968,173";;;;;
"BE/DROZDOV   /?   /712";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/HOØOVICE  /?   /201";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"8"
"BE/HOØOVICE  /?   /208";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"31"
"BE/HOØOVICE  /?   /311";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"30"
"BE/HOØOVICE  /?   /316";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"31"
"BE/HOØOVICE  /?   /806";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/HOØOVICE  /1946/138";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"27"
"BE/HOSTOMICE /?   /149";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/HOSTOMICE /?   /206";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"8"
"BE/HOSTOMICE /1940/950";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"24"
"BE/HØEDLE    /?   /757";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/CHODOUÒ   /?   /354";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"12"
"BE/KOTOPEKY  /?   /124";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"19"
"BE/KOTOPEKY  /?   /426";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"18"
"BE/KOTOPEKY  /?   /541";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/KUBLOV    /?   /259";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"19"
"BE/KUBLOV    /?   /750";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/LÁOVICE  /?   /210";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"8"
"BE/LÁOVICE  /?   /822";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/LIBOMYŠL  /?   /146";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/LIBOMYŠL  /?   /225";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"12"
"BE/LHOTKA U H/?   /020";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"25"
"BE/LOCHOVICE /?   /215";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"8"
"BE/LOCHOVICE /?   /241";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"15"
"BE/LOCHOVICE /?   /257";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"15"
"BE/LOCHOVICE /?   /406";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"12"
"BE/LOCHOVICE /?   /502";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"18"
"BE/LOCHOVICE /?   /817";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/NEUMÌTELY /?   /318";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"19"
"BE/NEUMÌTELY /?   /321";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"9"
"BE/NEUMÌTELY /?   /855";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/NEUMÌTELY /1873/322";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"12"
"BE/NEUMÌTELY /2000/207";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"9"
"BE/OLEŠNÁ    /?   /325";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"20"
"BE/OLEŠNÁ    /?   /812";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/OSOV      /?   /913";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/OTMÍÈE    /?   /322";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"20"
"BE/OTMÍÈE    /?   /553";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/PODLUHY   /?   /334";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"20"
"BE/PRASKOLESY/    /340";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"28"
"BE/PRASKOLESY/?   /132";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"19"
"BE/PRASKOLESY/?   /303";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"15"
"BE/PRASKOLESY/?   /329";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"17"
"BE/PRASKOLESY/?   /349";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"18"
"BE/PRASKOLESY/?   /523";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/PRASKOLESY/?   /547";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/PRASKOLESY/1995/806";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/PRASKOLESY/1997/420";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"18"
"BE/PRASKOLESY/1998/155";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"17"
"BE/PRASKOLESY/1999/841";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5, 9"
"BE/RPETY     /?   /230";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"14"
"BE/RPETY     /?   /659";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/SKØIPEL   /?   /153";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/SKØIPEL   /?   /224";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"8"
"BE/TOÈNÍK    /?   /229";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"8"
"BE/TØENICE   /?   /741";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/ZAJEÈOV   /?   /236";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"8"
"BE/ZÁLUÍ    /?   /737";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/ZDICE     /?   /308";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"19"
"BE/ZDICE     /?   /413";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"12"
"BE/ZDICE     /?   /512";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"18"
"BE/ZDICE     /1940/305";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"9"
"BE/ZDICE     /2000/120";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"6"
"BE/ELKOVICE /?   /240";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"8"
"BE/ELKOVICE /?   /253";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"19"
"BE/ELKOVICE /?   /833";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"11"
"BE/ELKOVICE /?   /848";"Malièkı J.";"Pøehled osídlení Hoøovicka v pravìku a na poèátku dìjin";;;;"1953";"5"
"BE/ZDICE     /    /326";"Malièkı J.";"Prehled osidleni Horovicka...,1953,15";;;;;
"BE/LOCHOVICE /    /162";"Malièkı J.";"Prehled osidl...,1953,15";;;;;
"BE/KUBLOV    /    /122";"Malièkı J.";"Pr.osidleni v prav...Horovice 1953,25";;;;;
"BE/HOØOVICE  /    /054";"Malièkı J.";"PA XLV,241";;;;;
"PB/VOLTUŠ    /1974/151";"Malièkı J.";"PA XLIII obr.5";;;;"1950";
"PM/RADOBYÈICE/    /751";"Malièkı J.";"PA XLIII '47/48;";;;;;
"ST/LIBÌTICE  /    /173";"Malièkı J.";"PA XLIII 1947-48,33";;;;;
"RO/ÈILÁ      /    /915";"Malièkı J.";"PA XLIII 1947/48,35";;;;;
"PM/BUKOVEC   /    /683";"Malièkı J.";"PA XLIII 1947/48,34,36";;;;;
"DO/PODRANICE/    /574";"Malièkı J.";"PA XLIII 1947/48,33";;;;;
"ST/ZADNÍ ZBOR/    /363";"Malièkı J.";"PA XLIII 1947/48,32";;;;;
"RA/BRANOV    /    /642";"Malièkı J.";"PA XLIII 1947/48, str.35";;;;;
"TA/SOBÌSLAV  /    /470";"Malièkı J.";"PA XLIII 1947";;;;;
"BE/OTMÍÈE    /    /201";"Malièkı J.";"PA XLIII";;;;"1950";"24"
"CB/DOBØEJOVIC/    /001";"Malièkı J.";"PA XLIII";;;;"1950";"31"
"CB/DOBØEJOVIC/1947/142";"Malièkı J.";"PA XLIII";;;;"1950";"3"
"CB/DOBØEJOVIC/1972/543";"Malièkı J.";"PA XLIII";;;;"1950";"3"
"CB/DOBØEJOVIC/1985/118";"Malièkı J.";"PA XLIII";;;;"1950";"3"
"CB/HLUBOKÁ NA/    /002";"Malièkı J.";"PA XLIII";;;;"1950";"23, 31"
"CB/LITORADLIC/    /003";"Malièkı J.";"PA XLIII";;;;"1950";"31"
"CB/LITORADLIC/1943/424";"Malièkı J.";"PA XLIII";;;;"1950";"31"
"CK/HRADIŠTÌ  /1998/309";"Malièkı J.";"PA XLIII";;;;"1950";"21-42,136"
"DO/PODRANICE/1976/538";"Malièkı J.";"PA XLIII";;;;"1950";"21-42"
"KT/ALBRECHTIC/1997/146";"Malièkı J.";"PA XLIII";;;;"1950";"21-42,137"
"KT/MALECHOV  /1987/856";"Malièkı J.";"PA XLIII";;;;"1950";"21-42"
"PI/BOUDY     /1997/121";"Malièkı J.";"PA XLIII";;;;"1950";"21, 136"
"PI/CHØEŠOVIC/1976/025";"Malièkı J.";"PA XLIII";;;;"1950";"23,25"
"PI/ORLÍK NAD /1972/441";"Malièkı J.";"PA XLIII";;;;"1950";"23"
"PM/BUKOVEC   /1950/832";"Malièkı J.";"PA XLIII";;;;"1950";"34"
"PM/PLZEÒ     /1976/358";"Malièkı J.";"PA XLIII";;;;"1950";"34"
"PM/RADOBYÈICE/?   /646";"Malièkı J.";"PA XLIII";;;;"1950";"32-34"
"PS/DİŠINA    /1952/119";"Malièkı J.";"PA XLIII";;;;"1950";"24"
