"KOD";"AUTORI";"TITUL";"MISTO";"CASOP";"ROCNIK";"ROK";"STR"
"PS/NADRYBY   /1987/819";"Baštová D., Bašta J.";"BZO 1986-87";;;;"1989";"120"
"PS/NEÈTINY   /1987/905";"Baštová D., Bašta J.";"BZO 1986-87";;;;"1989";"121"
"DO/HORNÍ METE/    /426";"Baštová D., Krušinová L.";"BZO 1984-85";;;;"1987";"52"
"DO/HORNÍ METE/1985/422";"Baštová D., Krušinová L.";"BZO 1984-85";;;;"1987";"52"
"PS/BDENÌVES  /1987/507";"Baštová D., Metlièka M.";"BZO 1986-87";;;;"1989";"9-10"
"PS/LIPNO     /1984/708";"Baštová D., Svobodová H.";"BZO 1984-85";;;;"1987";"110"
"KL/HONICE    /1940/650";"Bauman J.";"v archivu té noviny a èlánek z 31.3.1940";;;;;
"KV/ZÁHOØICE  /    /920";"Beneš A.";"Pozdnì halštatské árové pohøebištì v Sovoluskách, okres Karlovy Vary";;"Památky archeologické";"60";"1969";"161"
"KV/NOVOSEDLY /    /923";"Beneš A.";"Pozdnì halštatské árové pohøebištì v Sovoluskách, okres Karlovy Vary";;"Památky archeologické";"60";"1969";"161"
"KV/SOVOLUSKY /    /956";"Beneš A.";"Pozdnì halštatské árové pohøebištì v Sovoluskách, okres Karlovy Vary";;"Památky archeologické";"60";"1969";"134-163"
"ST/TØEBOHOSTI/1976/518";"Beneš A.";"Okolí Katovic...., in: Koláø E.-Kuncipál K., U nás doma, Katovice 1974";;;;"1974";"28"
"ST/TØEBOHOSTI/1976/558";"Beneš A.";"Okolí Katovic..., in: Koláø E.-Kuncipál K., U nás doma, Katovice 1974";;;;"1974";"29"
"PJ/NETUNICE  /    /566";"Beneš A.";"Netunice-priklad sidliste moh.kult.;Archeol.studijni materialy I";;;;;
"PM/BUKOVEC   /1950/832";"Beneš A.";"Nauèná lesnická stezka Zábìlá. Plzeò.";;;;"1979";"5-14"
"TA/RADÌTICE  /1971/735";"Beneš A.";"Muzeun keramiky v Bechyni, Zprávy ÈSSA - Suppl.1";;;;"1966";"7"
"CB/NUZICE    /1969/948";"Beneš A.";"Muzeum keramiky v Bechyni, Zprávy ÈSSA-Supp.1";;;;"1966";"10"
"PI/ZBÌŠICE   /1975/835";"Beneš A.";"Muzeum keramiky v Bechyni, ZpÈSSA";;;;"1966";"7"
"CB/HOSTY     /1977/716";"Beneš A.";"Muzeum keramiky v Bechyni - Katalog prav.sbírky, ZpÈSSA 1966, Supp.1";;;;"1966";"4"
"CB/PAŠOVICE  /1977/438";"Beneš A.";"Muzeum keramiky v Bechyni - Katalog pavìké sbírky, ZpÈSSA, Suppl.1";;;;"1966";"6-7"
