"Z_MAPA10";"ROHY";"X_JTSK";"Y_JTSK"
"01-14-19";"2_PH";946151,35;860887,74
"01-14-19";"3_PD";949906,33;861470,95
"01-14-19";"4_LD";949184,53;866142,52
"01-14-20";"1_LH";946151,35;860887,74
"01-14-20";"2_PH";946872,69;856219,14
"01-14-20";"3_PD";950628,13;856799,39
"01-14-20";"4_LD";949906,33;861470,95
"01-14-21";"1_LH";947019,13;880157,22
"01-14-21";"2_PH";947740,93;875485,65
"01-14-21";"3_PD";951494,54;876077,76
"01-14-21";"4_LD";950772,28;880752,29
"01-14-22";"1_LH";947740,93;875485,65
"01-14-22";"2_PH";948462,73;870814,09
"01-14-22";"3_PD";952216,79;871403,23
"01-14-22";"4_LD";951494,54;876077,76
"01-14-23";"1_LH";948462,73;870814,09
"01-14-23";"2_PH";949184,53;866142,52
"01-14-23";"3_PD";952939,05;866728,70
"01-14-23";"4_LD";952216,79;871403,23
"01-14-24";"1_LH";949184,53;866142,52
"01-14-24";"2_PH";949906,33;861470,95
"01-14-24";"3_PD";953661,31;862054,17
"01-14-24";"4_LD";952939,05;866728,70
"01-14-25";"1_LH";949906,33;861470,95
"01-14-25";"2_PH";950628,13;856799,39
"01-14-25";"3_PD";954383,57;857379,64
"01-14-25";"4_LD";953661,31;862054,17
"01-21-01";"1_LH";916829,19;851577,14
"01-21-01";"2_PH";917546,87;846932,26
"01-21-01";"3_PD";921302,76;847509,54
"01-21-01";"4_LD";920584,63;852157,39
"01-21-02";"1_LH";917546,87;846932,26
"01-21-02";"2_PH";918264,54;842287,38
"01-21-02";"3_PD";922020,90;842861,70
"01-21-02";"4_LD";921302,76;847509,54
"01-21-03";"1_LH";918264,54;842287,38
"01-21-03";"2_PH";918982,22;837642,49
"01-21-03";"3_PD";922739,03;838213,85
"01-21-03";"4_LD";922020,90;842861,70
"01-21-04";"1_LH";918982,22;837642,49
"01-21-04";"2_PH";919699,90;832997,61
"01-21-04";"3_PD";923457,17;833566,00
"01-21-04";"4_LD";922739,03;838213,85
"01-21-05";"1_LH";919699,90;832997,61
"01-21-05";"2_PH";920417,57;828352,73
"01-21-05";"3_PD";924175,30;828918,15
"01-21-05";"4_LD";923457,17;833566,00
"01-21-06";"1_LH";920584,63;852157,39
"01-21-06";"2_PH";921302,76;847509,54
"01-21-06";"3_PD";925058,66;848086,83
"01-21-06";"4_LD";924340,07;852737,64
"01-21-07";"1_LH";921302,76;847509,54
"01-21-07";"2_PH";922020,90;842861,70
"01-21-07";"3_PD";925777,25;843436,02
"01-21-07";"4_LD";925058,66;848086,83
"01-21-08";"1_LH";922020,90;842861,70
"01-21-08";"2_PH";922739,03;838213,85
"01-21-08";"3_PD";926495,84;838785,20
"01-21-08";"4_LD";925777,25;843436,02
"01-21-09";"1_LH";922739,03;838213,85
"01-21-09";"2_PH";923457,17;833566,00
"01-21-09";"3_PD";927214,44;834134,39
"01-21-09";"4_LD";926495,84;838785,20
"01-21-10";"1_LH";923457,17;833566,00
"01-21-10";"2_PH";924175,30;828918,15
"01-21-10";"3_PD";927933,03;829483,58
"01-21-10";"4_LD";927214,44;834134,39
"01-21-11";"1_LH";924340,07;852737,64
"01-21-11";"2_PH";925058,66;848086,83
"01-21-11";"3_PD";928814,55;848664,11
"01-21-11";"4_LD";928095,50;853317,89
"01-21-12";"1_LH";925058,66;848086,83
"01-21-12";"2_PH";925777,25;843436,02
"01-21-12";"3_PD";929533,61;844010,34
"01-21-12";"4_LD";928814,55;848664,11
"01-21-13";"1_LH";925777,25;843436,02
"01-21-13";"2_PH";926495,84;838785,20
"01-21-13";"3_PD";930252,66;839356,56
"01-21-13";"4_LD";929533,61;844010,34
"01-21-14";"1_LH";926495,84;838785,20
"01-21-14";"2_PH";927214,44;834134,39
"01-21-14";"3_PD";930971,71;834702,78
"01-21-14";"4_LD";930252,66;839356,56
"01-21-15";"1_LH";927214,44;834134,39
"01-21-15";"2_PH";927933,03;829483,58
"01-21-15";"3_PD";931690,76;830049,00
"01-21-15";"4_LD";930971,71;834702,78
"01-21-16";"1_LH";928095,50;853317,89
"01-21-16";"2_PH";928814,55;848664,11
"01-21-16";"3_PD";932570,45;849241,40
"01-21-16";"4_LD";931850,94;853898,14
"01-21-17";"1_LH";928814,55;848664,11
"01-21-17";"2_PH";929533,61;844010,34
"01-21-17";"3_PD";933289,96;844584,66
"01-21-17";"4_LD";932570,45;849241,40
"01-21-18";"1_LH";929533,61;844010,34
"01-21-18";"2_PH";930252,66;839356,56
"01-21-18";"3_PD";934009,47;839927,91
"01-21-18";"4_LD";933289,96;844584,66
"01-21-19";"1_LH";930252,66;839356,56
"01-21-19";"2_PH";930971,71;834702,78
"01-21-19";"3_PD";934728,98;835271,17
"01-21-19";"4_LD";934009,47;839927,91
"01-21-20";"1_LH";930971,71;834702,78
"01-21-20";"2_PH";931690,76;830049,00
"01-21-20";"3_PD";935448,49;830614,43
"01-21-20";"4_LD";934728,98;835271,17
"01-21-21";"1_LH";931850,94;853898,14
"01-21-21";"2_PH";932570,45;849241,40
"01-21-21";"3_PD";936326,35;849818,68
"01-21-21";"4_LD";935606,38;854478,39
"01-21-22";"1_LH";932570,45;849241,40
"01-21-22";"2_PH";933289,96;844584,66
"01-21-22";"3_PD";937046,31;845158,97
"01-21-22";"4_LD";936326,35;849818,68
